INFO flower 2021-01-11 18:18:17,598 | server_ssp.py:140 | fit progress: (0, 1568.3308260440826, 0.2345, 16.677316667)
INFO flower 2021-01-11 18:18:32,155 | server_ssp.py:140 | fit progress: (1, 1450.998058795929, 0.2817, 31.235020674999998)
INFO flower 2021-01-11 18:18:48,785 | server_ssp.py:140 | fit progress: (2, 1442.5943086147308, 0.3087, 47.864286117999995)
INFO flower 2021-01-11 18:19:03,998 | server_ssp.py:140 | fit progress: (3, 1462.1689591407776, 0.3339, 63.077630689)
INFO flower 2021-01-11 18:19:19,707 | server_ssp.py:140 | fit progress: (4, 1457.8141202926636, 0.3508, 78.786508353)
INFO flower 2021-01-11 18:19:34,848 | server_ssp.py:140 | fit progress: (5, 1431.3267006874084, 0.35, 93.92748928)
INFO flower 2021-01-11 18:19:50,310 | server_ssp.py:140 | fit progress: (6, 1427.554830789566, 0.3606, 109.389942397)
INFO flower 2021-01-11 18:20:06,085 | server_ssp.py:140 | fit progress: (7, 1340.215821504593, 0.3723, 125.16516557300001)
INFO flower 2021-01-11 18:20:20,702 | server_ssp.py:140 | fit progress: (8, 1390.8376410007477, 0.3778, 139.78193630599998)
INFO flower 2021-01-11 18:20:35,168 | server_ssp.py:140 | fit progress: (9, 1385.4461071491241, 0.3826, 154.247749844)
INFO flower 2021-01-11 18:20:56,339 | server_ssp.py:140 | fit progress: (10, 1341.6997952461243, 0.3832, 175.41917436699998)
INFO flower 2021-01-11 18:21:14,464 | server_ssp.py:140 | fit progress: (11, 1376.1673879623413, 0.3895, 193.54429388)
INFO flower 2021-01-11 18:21:31,930 | server_ssp.py:140 | fit progress: (12, 1367.20529961586, 0.3865, 211.009610463)
INFO flower 2021-01-11 18:21:48,677 | server_ssp.py:140 | fit progress: (13, 1370.916553735733, 0.3982, 227.75739131)
INFO flower 2021-01-11 18:22:04,202 | server_ssp.py:140 | fit progress: (14, 1392.9824454784393, 0.3953, 243.28197449999996)
INFO flower 2021-01-11 18:22:18,356 | server_ssp.py:140 | fit progress: (15, 1291.7400741577148, 0.3997, 257.435933116)
INFO flower 2021-01-11 18:22:34,337 | server_ssp.py:140 | fit progress: (16, 1306.8609783649445, 0.4024, 273.416884142)
INFO flower 2021-01-11 18:22:48,890 | server_ssp.py:140 | fit progress: (17, 1376.7774875164032, 0.3939, 287.97028125500003)
INFO flower 2021-01-11 18:23:04,595 | server_ssp.py:140 | fit progress: (18, 1335.811430811882, 0.4017, 303.674891435)
INFO flower 2021-01-11 18:23:19,905 | server_ssp.py:140 | fit progress: (19, 1384.0003929138184, 0.4046, 318.985359013)
315 311 309
