INFO flower 2021-04-08 06:36:16,535 | app.py:87 | Flower server running (insecure, 50 rounds)
INFO flower 2021-04-08 06:36:32,891 | server_ssp.py:102 | fit progress1: (0, 721.5993065834045, 0.0822, 0)
INFO flower 2021-04-08 06:36:37,677 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.3.46:59538
INFO flower 2021-04-08 06:36:37,678 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.51.38:55500
INFO flower 2021-04-08 06:36:37,678 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.3.46:59538
INFO flower 2021-04-08 06:36:37,679 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.51.38:55500
INFO flower 2021-04-08 06:36:37,679 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.1.34:50458
INFO flower 2021-04-08 06:36:37,694 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.1.34:50458
INFO flower 2021-04-08 06:36:37,685 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.44.37:38218
INFO flower 2021-04-08 06:36:37,691 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.53.38:59352
INFO flower 2021-04-08 06:36:37,700 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.44.37:38218
INFO flower 2021-04-08 06:36:37,701 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.4.47:45808
INFO flower 2021-04-08 06:36:37,703 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.50.35:45126
INFO flower 2021-04-08 06:36:37,713 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.50.35:45126
INFO flower 2021-04-08 06:36:37,704 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.58.35:48306
INFO flower 2021-04-08 06:36:37,710 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.4.47:45808
INFO flower 2021-04-08 06:36:37,711 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.57.39:40008
INFO flower 2021-04-08 06:36:37,735 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.57.39:40008
INFO flower 2021-04-08 06:36:37,720 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.1.34:50458
INFO flower 2021-04-08 06:36:37,721 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.3.46:59538
INFO flower 2021-04-08 06:36:37,722 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.7.45:55376
INFO flower 2021-04-08 06:36:37,754 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.7.45:55376
INFO flower 2021-04-08 06:36:37,724 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.51.38:55500
INFO flower 2021-04-08 06:36:37,725 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.54.26:52218
INFO flower 2021-04-08 06:36:37,769 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.54.26:52218
INFO flower 2021-04-08 06:36:37,733 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.44.37:38218
INFO flower 2021-04-08 06:36:37,735 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.50.35:45126
INFO flower 2021-04-08 06:36:37,735 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.37.26:56408
INFO flower 2021-04-08 06:36:37,703 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.53.38:59352
INFO flower 2021-04-08 06:36:37,742 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.43.26:53654
INFO flower 2021-04-08 06:36:37,798 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.43.26:53654
INFO flower 2021-04-08 06:36:37,753 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.3.46:59538
INFO flower 2021-04-08 06:36:37,723 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.58.35:48306
INFO flower 2021-04-08 06:36:37,761 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.2.44:58464
INFO flower 2021-04-08 06:36:37,762 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.57.39:40008
INFO flower 2021-04-08 06:36:37,763 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.4.47:45808
INFO flower 2021-04-08 06:36:37,763 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.49.25:43952
INFO flower 2021-04-08 06:36:37,731 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.38.37:38950
INFO flower 2021-04-08 06:36:37,775 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.33.28:52496
INFO flower 2021-04-08 06:36:37,778 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.5.45:50714
INFO flower 2021-04-08 06:36:37,778 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.51.38:55500
INFO flower 2021-04-08 06:36:37,784 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.7.45:55376
INFO flower 2021-04-08 06:36:37,786 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.44.37:38218
INFO flower 2021-04-08 06:36:37,792 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.37.26:56408
INFO flower 2021-04-08 06:36:37,792 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.35.37:40150
INFO flower 2021-04-08 06:36:37,792 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.8.47:36710
INFO flower 2021-04-08 06:36:37,748 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.1.34:50458
INFO flower 2021-04-08 06:36:37,803 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.41.36:53154
INFO flower 2021-04-08 06:36:37,804 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.50.35:45126
INFO flower 2021-04-08 06:36:37,806 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.48.38:38158
INFO flower 2021-04-08 06:36:37,859 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.48.38:38158
INFO flower 2021-04-08 06:36:37,809 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.26.34:53284
INFO flower 2021-04-08 06:36:37,867 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.26.34:53284
INFO flower 2021-04-08 06:36:37,817 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.2.44:58464
INFO flower 2021-04-08 06:36:37,823 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.57.39:40008
INFO flower 2021-04-08 06:36:37,824 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.18.27:39920
INFO flower 2021-04-08 06:36:37,825 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.53.38:59352
INFO flower 2021-04-08 06:36:37,832 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.49.25:43952
INFO flower 2021-04-08 06:36:37,833 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.4.47:45808
INFO flower 2021-04-08 06:36:37,833 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.43.26:53654
