round,loss,accuracy,time
0,721.2696154117584,0.1,0
1,722.7810456752777,0.1,13.723086973652244
2,728.8642582893372,0.1,27.803293952718377
3,748.8093845844269,0.1,41.52170887589455
4,988.0640761852264,0.1,55.29317243024707
5,1342.3826372623444,0.1939,68.89465715363622
6,1498.9694330692291,0.189,81.72802081517875
7,1664.6128687858582,0.2005,95.21269293874502
8,1687.6919717788696,0.2064,108.34888819046319
9,1604.162985086441,0.216,121.90101014450192
10,1604.5269293785095,0.211,135.59725136868656
11,800.2101430892944,0.1597,149.20270465686917
12,1192.0882296562195,0.195,163.7025070786476
13,1341.899447441101,0.2054,177.63658905401826
14,1407.9274077415466,0.2008,191.39682894945145
15,1464.3444998264313,0.2143,204.93718473240733
16,1537.2870848178864,0.2253,218.61289344727993
17,1525.553235054016,0.2344,232.2116246651858
18,1556.3511271476746,0.2254,245.6471921224147
19,1502.8646006584167,0.2475,259.2365544009954
20,1520.1878237724304,0.2396,273.1165959369391
21,690.5911308526993,0.2293,286.9028362222016
22,777.719732761383,0.2371,300.75591257214546
23,1126.2318563461304,0.217,314.6307014133781
24,1326.0819928646088,0.2379,327.83746760338545
25,1449.7039506435394,0.2511,341.5026141218841
26,1550.9474930763245,0.2589,355.004181381315
27,1573.4723770618439,0.2745,369.0108393020928
28,1587.6885678768158,0.2805,383.9056429229677
29,1574.8088607788086,0.2813,397.71686703525484
30,1570.0125939846039,0.2719,411.5070194751024
31,717.1449604034424,0.2787,425.30086876265705
32,1134.4809539318085,0.2611,438.694662777707
33,1394.9770288467407,0.2808,452.8953174147755
34,1513.2412116527557,0.2615,466.61913532949984
35,1546.9560809135437,0.2805,480.241329792887
36,1567.7538712024689,0.2847,494.4183524809778
37,1572.7246401309967,0.2893,507.83778648637235
38,1575.4908363819122,0.2856,521.625551469624
39,1545.3992404937744,0.2812,535.3011268898845
40,1496.0128242969513,0.2904,548.3053806852549
41,678.9458346366882,0.3011,561.0340205077082
42,750.6773414611816,0.2916,573.8167341388762
43,1196.8860697746277,0.3027,587.4144405908883
44,1370.6134362220764,0.2867,600.8183172885329
45,1460.4975357055664,0.3074,614.335684850812
46,1448.3949494361877,0.2811,628.1006445623934
47,1526.5178360939026,0.2908,641.3943596296012
48,1546.7250866889954,0.2804,654.8199288733304
49,1526.756757736206,0.2873,668.2310070134699
50,1529.5725662708282,0.2925,681.55937496759
