INFO flower 2021-04-06 06:30:42,104 | app.py:86 | Flower server running (insecure, 50 rounds)
INFO flower 2021-04-06 06:31:00,528 | server_ssp.py:99 | fit progress1: (0, 78.91661620140076, 0.094, 0)
INFO flower 2021-04-06 06:31:00,606 | server_ssp.py:131 | server starts round 0 for client ipv4:10.244.38.30:35236
INFO flower 2021-04-06 06:31:00,606 | server_ssp.py:134 | server send FitIns(clock=0) to client ipv4:10.244.38.30:35236
INFO flower 2021-04-06 06:31:00,612 | server_ssp.py:131 | server starts round 0 for client ipv4:10.244.55.23:52554
INFO flower 2021-04-06 06:31:00,612 | server_ssp.py:134 | server send FitIns(clock=0) to client ipv4:10.244.55.23:52554
INFO flower 2021-04-06 06:31:00,618 | server_ssp.py:131 | server starts round 0 for client ipv4:10.244.30.28:45096
INFO flower 2021-04-06 06:31:00,618 | server_ssp.py:134 | server send FitIns(clock=0) to client ipv4:10.244.30.28:45096
INFO flower 2021-04-06 06:31:00,629 | server_ssp.py:131 | server starts round 0 for client ipv4:10.244.53.31:50512
INFO flower 2021-04-06 06:31:00,629 | server_ssp.py:134 | server send FitIns(clock=0) to client ipv4:10.244.53.31:50512
INFO flower 2021-04-06 06:31:00,646 | server_ssp.py:131 | server starts round 0 for client ipv4:10.244.5.38:49578
INFO flower 2021-04-06 06:31:00,646 | server_ssp.py:134 | server send FitIns(clock=0) to client ipv4:10.244.5.38:49578
INFO flower 2021-04-06 06:31:00,662 | server_ssp.py:131 | server starts round 0 for client ipv4:10.244.50.28:39296
INFO flower 2021-04-06 06:31:00,662 | server_ssp.py:134 | server send FitIns(clock=0) to client ipv4:10.244.50.28:39296
INFO flower 2021-04-06 06:31:00,686 | server_ssp.py:131 | server starts round 0 for client ipv4:10.244.41.29:50572
INFO flower 2021-04-06 06:31:00,686 | server_ssp.py:134 | server send FitIns(clock=0) to client ipv4:10.244.41.29:50572
INFO flower 2021-04-06 06:31:02,363 | server_ssp.py:144 | server receives ReadIns from client ipv4:10.244.30.28:45096
INFO flower 2021-04-06 06:31:02,426 | server_ssp.py:150 | server sends back ReadRes(clock=-1) to client ipv4:10.244.30.28:45096
INFO flower 2021-04-06 06:31:03,626 | server_ssp.py:144 | server receives ReadIns from client ipv4:10.244.41.29:50572
