DEBUG flower 2021-04-06 08:06:59,606 | connection.py:36 | ChannelConnectivity.IDLE
INFO flower 2021-04-06 08:06:59,607 | app.py:61 | Opened (insecure) gRPC connection
DEBUG flower 2021-04-06 08:06:59,608 | connection.py:36 | ChannelConnectivity.READY
DEBUG flower 2021-04-06 08:07:18,535 | numpy_client.py:167 | fit, FitIns(clock=0)
INFO flower 2021-04-06 08:07:18,535 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 08:07:22,238 | numpy_client.py:215 | read: ReadRes(clock=-1)
DEBUG flower 2021-04-06 08:07:22,284 | numpy_client.py:167 | fit, FitIns(clock=0)
DEBUG flower 2021-04-06 08:07:22,285 | numpy_client.py:242 | cached_clock: -1, curr_clock: 0
INFO flower 2021-04-06 08:08:16,744 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=0)
DEBUG flower 2021-04-06 08:08:18,022 | numpy_client.py:167 | fit, FitIns(clock=1)
DEBUG flower 2021-04-06 08:08:18,022 | numpy_client.py:242 | cached_clock: -1, curr_clock: 1
INFO flower 2021-04-06 08:09:15,548 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=1)
DEBUG flower 2021-04-06 08:09:17,398 | numpy_client.py:167 | fit, FitIns(clock=2)
DEBUG flower 2021-04-06 08:09:17,399 | numpy_client.py:242 | cached_clock: -1, curr_clock: 2
INFO flower 2021-04-06 08:09:17,399 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 08:09:19,101 | numpy_client.py:215 | read: ReadRes(clock=0)
DEBUG flower 2021-04-06 08:09:19,140 | numpy_client.py:167 | fit, FitIns(clock=2)
DEBUG flower 2021-04-06 08:09:19,141 | numpy_client.py:242 | cached_clock: 0, curr_clock: 2
INFO flower 2021-04-06 08:10:13,954 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=2)
DEBUG flower 2021-04-06 08:10:15,414 | numpy_client.py:167 | fit, FitIns(clock=3)
DEBUG flower 2021-04-06 08:10:15,414 | numpy_client.py:242 | cached_clock: 0, curr_clock: 3
INFO flower 2021-04-06 08:10:15,414 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 08:10:46,510 | numpy_client.py:215 | read: ReadRes(clock=1)
DEBUG flower 2021-04-06 08:10:46,551 | numpy_client.py:167 | fit, FitIns(clock=3)
DEBUG flower 2021-04-06 08:10:46,551 | numpy_client.py:242 | cached_clock: 1, curr_clock: 3
INFO flower 2021-04-06 08:11:40,556 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=3)
DEBUG flower 2021-04-06 08:11:42,351 | numpy_client.py:167 | fit, FitIns(clock=4)
DEBUG flower 2021-04-06 08:11:42,351 | numpy_client.py:242 | cached_clock: 1, curr_clock: 4
INFO flower 2021-04-06 08:11:42,351 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 08:12:40,264 | numpy_client.py:215 | read: ReadRes(clock=2)
DEBUG flower 2021-04-06 08:12:40,307 | numpy_client.py:167 | fit, FitIns(clock=4)
DEBUG flower 2021-04-06 08:12:40,307 | numpy_client.py:242 | cached_clock: 2, curr_clock: 4
