INFO flower 2021-04-06 09:44:49,774 | app.py:61 | Opened (insecure) gRPC connection
DEBUG flower 2021-04-06 09:44:49,780 | connection.py:36 | ChannelConnectivity.IDLE
DEBUG flower 2021-04-06 09:44:49,806 | connection.py:36 | ChannelConnectivity.CONNECTING
DEBUG flower 2021-04-06 09:44:49,806 | connection.py:36 | ChannelConnectivity.READY
DEBUG flower 2021-04-06 09:45:07,576 | numpy_client.py:167 | fit, FitIns(clock=0)
INFO flower 2021-04-06 09:45:07,576 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 09:45:11,643 | numpy_client.py:215 | read: ReadRes(clock=-1)
DEBUG flower 2021-04-06 09:45:11,739 | numpy_client.py:167 | fit, FitIns(clock=0)
DEBUG flower 2021-04-06 09:45:11,739 | numpy_client.py:242 | cached_clock: -1, curr_clock: 0
INFO flower 2021-04-06 09:46:27,659 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=0)
DEBUG flower 2021-04-06 09:46:29,526 | numpy_client.py:167 | fit, FitIns(clock=1)
DEBUG flower 2021-04-06 09:46:29,526 | numpy_client.py:242 | cached_clock: -1, curr_clock: 1
INFO flower 2021-04-06 09:47:34,151 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=1)
DEBUG flower 2021-04-06 09:47:35,433 | numpy_client.py:167 | fit, FitIns(clock=2)
DEBUG flower 2021-04-06 09:47:35,433 | numpy_client.py:242 | cached_clock: -1, curr_clock: 2
INFO flower 2021-04-06 09:48:41,860 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=2)
DEBUG flower 2021-04-06 09:48:49,417 | numpy_client.py:167 | fit, FitIns(clock=3)
DEBUG flower 2021-04-06 09:48:49,417 | numpy_client.py:242 | cached_clock: -1, curr_clock: 3
INFO flower 2021-04-06 09:49:51,248 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=3)
DEBUG flower 2021-04-06 09:49:52,419 | numpy_client.py:167 | fit, FitIns(clock=4)
DEBUG flower 2021-04-06 09:49:52,419 | numpy_client.py:242 | cached_clock: -1, curr_clock: 4
INFO flower 2021-04-06 09:50:53,051 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=4)
DEBUG flower 2021-04-06 09:50:54,407 | numpy_client.py:167 | fit, FitIns(clock=5)
DEBUG flower 2021-04-06 09:50:54,407 | numpy_client.py:242 | cached_clock: -1, curr_clock: 5
INFO flower 2021-04-06 09:50:54,407 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 09:50:55,949 | numpy_client.py:215 | read: ReadRes(clock=2)
DEBUG flower 2021-04-06 09:50:55,988 | numpy_client.py:167 | fit, FitIns(clock=5)
DEBUG flower 2021-04-06 09:50:55,988 | numpy_client.py:242 | cached_clock: 2, curr_clock: 5
INFO flower 2021-04-06 09:51:57,854 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=5)
DEBUG flower 2021-04-06 09:51:59,327 | numpy_client.py:167 | fit, FitIns(clock=6)
DEBUG flower 2021-04-06 09:51:59,327 | numpy_client.py:242 | cached_clock: 2, curr_clock: 6
INFO flower 2021-04-06 09:52:59,152 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=6)
DEBUG flower 2021-04-06 09:53:00,321 | numpy_client.py:167 | fit, FitIns(clock=7)
DEBUG flower 2021-04-06 09:53:00,322 | numpy_client.py:242 | cached_clock: 2, curr_clock: 7
INFO flower 2021-04-06 09:54:00,614 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=7)
DEBUG flower 2021-04-06 09:54:17,126 | numpy_client.py:167 | fit, FitIns(clock=8)
DEBUG flower 2021-04-06 09:54:17,126 | numpy_client.py:242 | cached_clock: 2, curr_clock: 8
INFO flower 2021-04-06 09:54:17,126 | numpy_client.py:179 | Cache is stale, return ReadIns
DEBUG flower 2021-04-06 09:54:19,559 | numpy_client.py:215 | read: ReadRes(clock=4)
DEBUG flower 2021-04-06 09:54:19,599 | numpy_client.py:167 | fit, FitIns(clock=8)
DEBUG flower 2021-04-06 09:54:19,599 | numpy_client.py:242 | cached_clock: 4, curr_clock: 8
INFO flower 2021-04-06 09:55:20,050 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=8)
DEBUG flower 2021-04-06 09:55:21,205 | numpy_client.py:167 | fit, FitIns(clock=9)
DEBUG flower 2021-04-06 09:55:21,206 | numpy_client.py:242 | cached_clock: 4, curr_clock: 9
INFO flower 2021-04-06 09:56:22,254 | numpy_client.py:192 | Cache is fresh, return FitRes(clock=9)
DEBUG flower 2021-04-06 09:56:23,521 | numpy_client.py:167 | fit, FitIns(clock=10)
