round,loss,accuracy,time
0,83.72199869155884,0.086,0
1,179.65488576889038,0.231,112.6096518561244
2,177.6996636390686,0.264,224.20917938277125
3,177.72286653518677,0.279,332.6057472284883
4,181.94635605812073,0.275,442.39852689392865
5,185.63300919532776,0.273,551.816137008369
6,169.77922344207764,0.221,663.017255667597
7,166.9356827735901,0.266,774.0993078704923
8,173.89816308021545,0.267,886.0990706048906
9,178.57535338401794,0.289,994.7097540255636
10,176.70231342315674,0.288,1107.8916724901646
11,138.925226688385,0.254,1218.616191893816
12,147.64353275299072,0.28,1330.3259146176279
13,148.11904215812683,0.291,1441.4114890359342
14,152.93606042861938,0.299,1553.7082846332341
15,156.77048420906067,0.302,1666.4242001604289
16,157.52982425689697,0.317,1778.798695359379
17,159.55640578269958,0.314,1891.3040691595525
18,160.00849843025208,0.321,2005.2083951607347
19,160.913982629776,0.311,2117.596335461363
20,161.62817907333374,0.313,2229.7966770213097
21,162.21431183815002,0.312,2340.4913563933223
22,163.36141300201416,0.31,2451.304596254602
23,163.66641068458557,0.309,2563.7148269806057
24,164.4109137058258,0.309,2676.5042248889804
25,165.36985635757446,0.312,2788.1080767288804
26,135.73796916007996,0.279,2899.417645443231
27,146.3637466430664,0.271,3012.6889251749963
28,155.57642030715942,0.292,3126.6122417263687
29,153.0835943222046,0.284,3241.0105284210294
30,155.82065725326538,0.306,3355.891357716173
31,158.97972869873047,0.308,3466.9991591405123
32,159.70591473579407,0.311,3579.2136415001005
33,161.06481647491455,0.306,3692.7145639080554
34,162.1129026412964,0.315,3807.191412670538
35,162.7130992412567,0.311,3920.3941491860896
36,163.35700845718384,0.31,4033.1169526837766
37,164.229966878891,0.309,4146.09978351742
38,165.0624132156372,0.304,4260.018132187426
39,165.97516870498657,0.307,4374.607262244448
40,166.6139588356018,0.312,4486.093927960843
41,134.82359945774078,0.279,4598.191522138193
42,140.10977840423584,0.26,4711.591773873195
43,146.9975757598877,0.284,4825.988998848945
44,156.16882300376892,0.293,4937.409958858043
45,155.1639165878296,0.297,5050.408255703747
46,158.76771879196167,0.306,5160.19112351723
47,159.9044053554535,0.311,5271.388928530738
48,160.91891860961914,0.317,5384.113272240385
49,161.8729329109192,0.313,5495.300876187161
50,162.8706727027893,0.314,5606.811595726758
