round,loss,accuracy,time
0,721.2238218784332,0.0999,0
1,723.1567845344543,0.1003,14.27248365804553
2,720.5952081680298,0.1027,27.992851765826344
3,722.3435046672821,0.1,41.79703654162586
4,728.2975068092346,0.1,55.43130702711642
5,767.111141204834,0.1,68.11370738968253
6,1171.8588304519653,0.1195,81.67177874222398
7,1437.3893744945526,0.166,94.97170787677169
8,1638.76850771904,0.1743,108.41852523945272
9,1764.7169659137726,0.2037,121.59593996591866
10,1787.3327496051788,0.2135,134.7009330522269
11,1777.6752376556396,0.2235,147.8954979404807
12,1768.4969222545624,0.2303,161.69971442967653
13,1771.0516386032104,0.2362,174.81557287089527
14,1771.9208116531372,0.244,187.93277361802757
15,1765.0650804042816,0.2481,201.19961163774133
16,1750.4291417598724,0.2519,215.3035534657538
17,1730.7788610458374,0.2553,230.57486293837428
18,1711.5010242462158,0.2591,243.9822968710214
19,1692.8821268081665,0.2615,257.0334085188806
20,1678.5879745483398,0.265,270.5982219427824
21,1668.958435535431,0.2681,284.59719265811145
22,1663.1415452957153,0.2711,297.7817696854472
23,1656.7127692699432,0.2762,310.9116641562432
24,1652.9595215320587,0.2811,324.11285694129765
25,1650.1141498088837,0.2854,337.880995279178
26,1648.7919681072235,0.2879,352.3817585352808
27,1650.1779811382294,0.2894,365.5006021987647
28,1651.968228816986,0.2888,379.71678620763123
29,1652.2619800567627,0.2885,392.49373586289585
30,1651.9213716983795,0.2889,405.9170824792236
31,1163.0619344711304,0.327,419.97351620160043
32,1265.0416646003723,0.3304,433.19542212598026
33,1333.4869692325592,0.3302,446.9180628377944
34,1377.82981300354,0.3318,461.10031599365175
35,1410.5524988174438,0.3336,475.0822513420135
36,1436.5584118366241,0.3336,488.6861030254513
37,1462.9127440452576,0.333,502.4170723930001
38,1480.100072145462,0.3344,516.0716201867908
39,1501.388314962387,0.3355,530.114517359063
40,1514.0141289234161,0.336,544.003590149805
41,1526.1508858203888,0.3362,557.5741661190987
42,1541.785433769226,0.3365,571.0123780164868
43,1555.4439544677734,0.3372,584.68211770989
44,1567.7348766326904,0.338,598.2722947914153
45,1581.5141711235046,0.3388,611.9295238591731
46,1594.124284029007,0.3391,625.5828695856035
47,1599.6470181941986,0.3403,639.0308879688382
48,1613.704449892044,0.3414,652.8111276309937
49,1619.4903423786163,0.3408,666.1184818465263
50,1628.067943572998,0.341,679.8070930186659
51,1639.437425851822,0.3414,694.1121619027108
52,1653.2247552871704,0.342,708.0112495459616
53,1178.0381379127502,0.337,722.3056471273303
54,1239.6092460155487,0.3396,736.8307044580579
55,1298.7271790504456,0.3412,750.5994161181152
56,1346.086881160736,0.3406,763.7959985584021
57,1386.9432406425476,0.3421,777.5032938532531
58,1420.3257195949554,0.3428,790.9955127034336
59,1445.2408475875854,0.3433,805.7168406620622
60,1473.8524446487427,0.3442,820.1115640271455
61,1500.9685711860657,0.3442,834.2382902111858
62,1529.9550821781158,0.3425,848.6212931200862
63,1554.070974111557,0.3422,862.1716162711382
64,1582.8352081775665,0.3419,876.1848598532379
65,1606.7540221214294,0.3414,889.7178534343839
66,1632.746101617813,0.3404,903.9840593263507
67,1663.7079350948334,0.3397,917.6012776568532
68,1699.492710351944,0.3391,931.3181600868702
69,1735.2885291576385,0.3379,944.7818676121533
70,1764.318524837494,0.3371,958.286825010553
71,1800.514101266861,0.3357,971.3954137153924
72,1846.4393877983093,0.3351,984.8152314461768
73,1873.3698797225952,0.334,998.2228288631886
74,1910.4549887180328,0.3313,1011.9797570016235
75,1944.3506712913513,0.3301,1026.3169495984912
76,1984.879533290863,0.3286,1039.9838514272124
77,2024.4905896186829,0.3273,1053.3119829688221
78,2065.6550102233887,0.3277,1068.082826450467
79,2098.0953879356384,0.3273,1081.3061739206314
80,2141.393759250641,0.3278,1093.8841201532632
81,2178.425914287567,0.324,1108.2964897193015
82,2218.1890540122986,0.3233,1121.788757385686
83,2263.1772108078003,0.3232,1135.197968300432
84,2278.974097251892,0.3196,1148.019252186641
85,2280.9128742218018,0.3132,1161.0917517021298
86,2216.3402643203735,0.3116,1174.2981234788895
87,1991.7061722278595,0.323,1187.7818468678743
88,1780.5440919399261,0.3273,1200.8970181792974
89,1818.2308111190796,0.3272,1214.582917029038
90,1975.1317462921143,0.3337,1228.2921712454408
91,884.392617225647,0.3467,1242.2813743744045
92,1043.2079005241394,0.3483,1256.1982470098883
93,1144.2375893592834,0.3474,1269.5041458588094
94,1213.1753239631653,0.3481,1282.6003333553672
95,1290.2000169754028,0.3453,1295.778334217146
96,1336.0265192985535,0.3425,1309.2174540832639
97,1374.2231094837189,0.3419,1322.5733683165163
98,1418.9877943992615,0.339,1335.6837228592485
99,1458.1507103443146,0.3379,1349.2026839330792
100,1497.4904010295868,0.3377,1362.9004046432674
