INFO flower 2021-04-08 11:22:40,460 | app.py:87 | Flower server running (insecure, 100 rounds)
INFO flower 2021-04-08 11:22:56,222 | server_ssp.py:102 | fit progress1: (0, 721.1650245189667, 0.1007, 0)
INFO flower 2021-04-08 11:22:58,321 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.26.36:53298
INFO flower 2021-04-08 11:22:58,321 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.26.36:53298
INFO flower 2021-04-08 11:22:58,329 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.57.41:39212
INFO flower 2021-04-08 11:22:58,329 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.57.41:39212
INFO flower 2021-04-08 11:22:58,335 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.35.39:53586
INFO flower 2021-04-08 11:22:58,335 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.35.39:53586
INFO flower 2021-04-08 11:22:58,377 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.22.39:60118
INFO flower 2021-04-08 11:22:58,378 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.22.39:60118
INFO flower 2021-04-08 11:22:58,383 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.50.37:48536
INFO flower 2021-04-08 11:22:58,383 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.50.37:48536
INFO flower 2021-04-08 11:22:58,391 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.43.27:60452
INFO flower 2021-04-08 11:22:58,391 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.43.27:60452
INFO flower 2021-04-08 11:22:58,401 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.26.36:53298
INFO flower 2021-04-08 11:22:58,402 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.41.38:41232
INFO flower 2021-04-08 11:22:58,409 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.41.38:41232
INFO flower 2021-04-08 11:22:58,403 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.48.40:42526
INFO flower 2021-04-08 11:22:58,409 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.29.28:58938
INFO flower 2021-04-08 11:22:58,408 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.26.36:53298
INFO flower 2021-04-08 11:22:58,415 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.48.40:42526
INFO flower 2021-04-08 11:22:58,416 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.57.41:39212
INFO flower 2021-04-08 11:22:58,417 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.29.28:58938
INFO flower 2021-04-08 11:22:58,424 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.2.46:59114
INFO flower 2021-04-08 11:22:58,427 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.27.27:36932
INFO flower 2021-04-08 11:22:58,440 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.27.27:36932
INFO flower 2021-04-08 11:22:58,438 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.2.46:59114
INFO flower 2021-04-08 11:22:58,431 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.57.41:39212
INFO flower 2021-04-08 11:22:58,453 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.43.27:60452
INFO flower 2021-04-08 11:22:58,460 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.35.39:53586
INFO flower 2021-04-08 11:22:58,466 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.43.27:60452
INFO flower 2021-04-08 11:22:58,468 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.18.28:58658
INFO flower 2021-04-08 11:22:58,468 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.18.28:58658
INFO flower 2021-04-08 11:22:58,473 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.35.39:53586
INFO flower 2021-04-08 11:22:58,478 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.5.47:47056
INFO flower 2021-04-08 11:22:58,479 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.5.47:47056
INFO flower 2021-04-08 11:22:58,484 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.50.37:48536
INFO flower 2021-04-08 11:22:58,492 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.52.28:37926
INFO flower 2021-04-08 11:22:58,493 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.41.38:41232
INFO flower 2021-04-08 11:22:58,494 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.48.40:42526
INFO flower 2021-04-08 11:22:58,495 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.29.28:58938
INFO flower 2021-04-08 11:22:58,495 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.7.47:44598
INFO flower 2021-04-08 11:22:58,521 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.7.47:44598
INFO flower 2021-04-08 11:22:58,497 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.27.27:36932
INFO flower 2021-04-08 11:22:58,498 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.52.28:37926
INFO flower 2021-04-08 11:22:58,499 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.44.39:56632
INFO flower 2021-04-08 11:22:58,501 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.18.28:58658
INFO flower 2021-04-08 11:22:58,502 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.2.46:59114
INFO flower 2021-04-08 11:22:58,513 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.22.39:60118
INFO flower 2021-04-08 11:22:58,507 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.41.38:41232
INFO flower 2021-04-08 11:22:58,514 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.48.40:42526
INFO flower 2021-04-08 11:22:58,520 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.53.40:58124
INFO flower 2021-04-08 11:22:58,521 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.29.28:58938
INFO flower 2021-04-08 11:22:58,496 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.50.37:48536
INFO flower 2021-04-08 11:22:58,527 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.3.48:38334
INFO flower 2021-04-08 11:22:58,529 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.5.47:47056
INFO flower 2021-04-08 11:22:58,530 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.33.29:40864
INFO flower 2021-04-08 11:22:58,574 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.33.29:40864
INFO flower 2021-04-08 11:22:58,540 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.42.26:33832
INFO flower 2021-04-08 11:22:58,541 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.44.39:56632
INFO flower 2021-04-08 11:22:58,547 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.8.49:58284
INFO flower 2021-04-08 11:22:58,548 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.18.28:58658
INFO flower 2021-04-08 11:22:58,553 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.2.46:59114
INFO flower 2021-04-08 11:22:58,559 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.22.39:60118
INFO flower 2021-04-08 11:22:58,562 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.6.49:51912
INFO flower 2021-04-08 11:22:58,563 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.4.49:56610
INFO flower 2021-04-08 11:22:58,608 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.4.49:56610
INFO flower 2021-04-08 11:22:58,565 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.58.37:44552
INFO flower 2021-04-08 11:22:58,567 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.3.48:38334
INFO flower 2021-04-08 11:22:58,567 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.30.37:38916
INFO flower 2021-04-08 11:22:58,574 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.5.47:47056
INFO flower 2021-04-08 11:22:58,536 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.27.27:36932
INFO flower 2021-04-08 11:22:58,583 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.42.26:33832
INFO flower 2021-04-08 11:22:58,584 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.25.39:39166
INFO flower 2021-04-08 11:22:58,591 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.40.28:37244
INFO flower 2021-04-08 11:22:58,591 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.8.49:58284
INFO flower 2021-04-08 11:22:58,592 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.51.40:57592
INFO flower 2021-04-08 11:22:58,595 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.38.39:41092
INFO flower 2021-04-08 11:22:58,643 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.38.39:41092
INFO flower 2021-04-08 11:22:58,602 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.52.28:37926
INFO flower 2021-04-08 11:22:58,602 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.33.29:40864
