INFO flower 2021-04-08 10:12:17,986 | app.py:87 | Flower server running (insecure, 100 rounds)
INFO flower 2021-04-08 10:12:34,763 | server_ssp.py:102 | fit progress1: (0, 721.335711479187, 0.1, 0)
INFO flower 2021-04-08 10:12:34,764 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.38.37:39014
INFO flower 2021-04-08 10:12:34,764 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.38.37:39014
INFO flower 2021-04-08 10:12:34,770 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.51.38:55564
INFO flower 2021-04-08 10:12:34,771 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.51.38:55564
INFO flower 2021-04-08 10:12:34,780 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.33.28:52562
INFO flower 2021-04-08 10:12:34,781 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.6.47:41086
INFO flower 2021-04-08 10:12:34,782 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.33.28:52562
INFO flower 2021-04-08 10:12:34,782 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.54.26:52282
INFO flower 2021-04-08 10:12:34,783 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.6.47:41086
INFO flower 2021-04-08 10:12:34,783 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.3.46:59602
INFO flower 2021-04-08 10:12:34,790 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.40.27:44746
INFO flower 2021-04-08 10:12:34,798 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.40.27:44746
INFO flower 2021-04-08 10:12:34,796 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.3.46:59602
INFO flower 2021-04-08 10:12:34,791 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.54.26:52282
INFO flower 2021-04-08 10:12:34,814 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.58.35:48370
INFO flower 2021-04-08 10:12:34,814 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.58.35:48370
INFO flower 2021-04-08 10:12:34,820 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.38.37:39014
INFO flower 2021-04-08 10:12:34,832 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.38.37:39014
INFO flower 2021-04-08 10:12:34,834 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.18.27:39984
INFO flower 2021-04-08 10:12:34,834 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.18.27:39984
INFO flower 2021-04-08 10:12:34,841 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.51.38:55564
INFO flower 2021-04-08 10:12:34,845 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.51.38:55564
INFO flower 2021-04-08 10:12:34,847 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.25.37:49954
INFO flower 2021-04-08 10:12:34,847 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.25.37:49954
INFO flower 2021-04-08 10:12:34,854 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.49.25:44016
INFO flower 2021-04-08 10:12:34,854 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.49.25:44016
INFO flower 2021-04-08 10:12:34,864 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.44.37:38282
INFO flower 2021-04-08 10:12:34,865 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.44.37:38282
INFO flower 2021-04-08 10:12:34,871 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.37.26:56474
INFO flower 2021-04-08 10:12:34,871 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.37.26:56474
INFO flower 2021-04-08 10:12:34,882 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.8.47:36774
INFO flower 2021-04-08 10:12:34,883 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.6.47:41086
