round,loss,accuracy,time
0,721.2238218784332,0.0999,0
1,722.1752557754517,0.1,13.68642303161323
2,722.5193271636963,0.1,28.372391188517213
3,735.2135148048401,0.1,41.5708539262414
4,879.7148425579071,0.1421,55.38469500467181
5,1048.2207231521606,0.1219,68.87760380655527
6,1211.2899391651154,0.1426,82.30928778089583
7,1334.324976682663,0.1752,95.87726045399904
8,1405.3520081043243,0.204,109.28388682194054
9,1439.5759708881378,0.2119,122.81774650514126
10,1459.1944978237152,0.2195,136.7729285452515
11,920.6934049129486,0.205,150.4617846813053
12,1167.7962775230408,0.2185,164.36947062052786
13,1233.3794214725494,0.2246,177.60827941261232
14,1256.174814939499,0.2285,191.38616162538528
15,1269.0276050567627,0.235,205.12628828175366
16,1276.4641206264496,0.2407,218.77577907033265
17,1280.268189907074,0.2475,232.46851743012667
18,1287.0380940437317,0.2559,246.06565138325095
19,1290.2193806171417,0.2627,259.48524921759963
20,1291.5265073776245,0.2677,272.8710787445307
21,749.2181067466736,0.2534,286.4982093311846
22,980.5833218097687,0.2738,300.07091846875846
23,1081.104036808014,0.2789,314.29448818974197
24,1124.9618215560913,0.2844,327.91573830880225
25,1149.5448129177094,0.288,341.5932731050998
26,1166.4471287727356,0.2908,356.1065054628998
27,1179.133321762085,0.2962,370.36975795403123
28,1190.1698656082153,0.3013,384.3702777568251
29,1196.2897346019745,0.304,397.5676842946559
30,1199.1815576553345,0.3065,411.0029811169952
31,776.309051990509,0.2769,424.70097078569233
32,917.2080726623535,0.291,438.1598205380142
33,1007.4527537822723,0.2968,451.8069034125656
34,1059.9314188957214,0.3029,465.5622578021139
35,1091.2619290351868,0.3066,479.3058975059539
36,1112.4447996616364,0.3101,492.9679298941046
37,1129.695177078247,0.3124,506.6851976700127
38,1143.2063989639282,0.3165,520.1886592060328
39,1156.0493953227997,0.319,533.6729533690959
40,1168.572250843048,0.3201,547.5869310982525
41,759.2175879478455,0.2828,560.9165892116725
42,935.6737526655197,0.2985,574.6098306663334
43,1021.7457556724548,0.309,589.1707373093814
44,1072.7353370189667,0.3141,602.9030256569386
45,1105.2753109931946,0.3178,616.5127468574792
46,1126.8250007629395,0.3197,629.9945315141231
47,1146.880471944809,0.3217,644.5599088016897
48,1161.649287700653,0.3246,658.387874012813
49,1174.7740671634674,0.3258,671.6992506776005
50,1188.9528732299805,0.3264,686.0892351046205
51,799.7708092927933,0.2955,699.9889094252139
52,914.0119705200195,0.3076,713.6868579015136
53,983.8815732002258,0.3159,727.5709940139204
54,1028.4418286085129,0.3187,741.0011218283325
55,1064.3329541683197,0.3223,754.5024710875005
56,1090.92984354496,0.3246,768.3698147535324
57,1112.6400923728943,0.3276,782.4070126581937
58,1130.3170117139816,0.3292,796.1872675810009
59,1145.2758308649063,0.3303,809.6614045966417
60,1161.7239475250244,0.3316,823.1874969210476
61,837.7437609434128,0.3044,836.9715745579451
62,926.6668813228607,0.3168,850.8628121651709
63,993.0885055065155,0.3236,864.5655370652676
64,1041.248104929924,0.3252,878.4620867818594
65,1077.9514006376266,0.3279,893.2071496490389
66,1107.8937747478485,0.3314,907.0039201192558
67,1132.1643007993698,0.3332,920.2005833461881
68,1155.5803438425064,0.3344,933.3811876736581
69,1176.044409275055,0.3359,947.3695746939629
70,1194.1133353710175,0.3378,960.774597581476
71,855.872519493103,0.3094,974.3136033974588
72,969.358961224556,0.3187,988.4707591887563
73,1034.3337804079056,0.3261,1002.3994475807995
74,1079.7632415294647,0.3308,1016.5058444608003
75,1113.7606637477875,0.3335,1030.3063887972385
76,1137.6234916448593,0.3368,1044.110944405198
77,1156.2879446744919,0.3388,1057.767927300185
78,1172.3561971187592,0.3398,1071.60918052122
79,1189.2338808774948,0.3414,1085.3052782546729
80,1198.0928890705109,0.3437,1099.1668094731867
81,852.3103539943695,0.3149,1112.460911585018
82,959.4979602098465,0.3252,1126.4026513658464
83,1020.1632437705994,0.3312,1141.9599778372794
84,1059.6484279632568,0.3362,1155.7820081468672
85,1093.515921831131,0.3385,1170.002768266946
86,1120.2568587064743,0.3411,1183.4922487810254
87,1144.0814218521118,0.3432,1197.0185925848782
88,1162.6306017637253,0.3444,1210.9874818902463
89,1178.1794590950012,0.3464,1224.7648405767977
90,1194.8157036304474,0.3481,1238.2666793130338
91,837.7312718629837,0.3221,1251.5174029655755
92,935.5690983533859,0.3285,1266.2723811436445
93,998.2370164394379,0.3372,1280.2734285686165
94,1042.0786162614822,0.3401,1293.8680180888623
95,1075.7740392684937,0.342,1307.4807534776628
96,1102.665342926979,0.3439,1320.9122336376458
97,1124.4982652664185,0.3466,1334.5598383769393
98,1147.347490787506,0.349,1348.0038923099637
99,1163.982282757759,0.35,1361.3611756376922
100,1181.0899510383606,0.334,1374.7179647218436
