round,loss,accuracy,time
0,721.2238218784332,0.0999,0
1,723.1567845344543,0.1003,13.750749925151467
2,730.2116324901581,0.1585,27.038427168503404
3,858.2696895599365,0.1,40.636313101276755
4,1302.9960808753967,0.1294,54.43554958328605
5,1536.3010020256042,0.1785,67.60707482136786
6,1745.0293238162994,0.185,80.62650131434202
7,1839.6198525428772,0.1895,93.71761713922024
8,1824.0481865406036,0.2001,106.83328067325056
9,1790.5401005744934,0.2125,120.0156271290034
10,1766.280492067337,0.219,133.00198652409017
11,1754.9090497493744,0.2244,146.13492967747152
12,1743.9352614879608,0.2308,159.51630127057433
13,1733.2823283672333,0.2359,172.61602569185197
14,1721.6409666538239,0.2415,186.39263630844653
15,1710.3998429775238,0.2475,199.70083371922374
16,1698.0877997875214,0.2527,212.99738189205527
17,1682.8919768333435,0.2583,225.82762510329485
18,1668.494794368744,0.2612,239.01550710387528
19,1650.017504453659,0.2637,252.19527122564614
20,1629.3593168258667,0.2669,265.5268541648984
21,1607.5314803123474,0.27,278.3477084133774
22,1592.309916973114,0.2724,292.0206709653139
23,1576.4399764537811,0.2758,305.2900643814355
24,1568.741758108139,0.276,319.58916169963777
25,1570.0558543205261,0.2777,332.92718457244337
26,1568.895544052124,0.2778,346.2446779422462
27,1569.0393605232239,0.2789,359.92993417941034
28,1572.7957382202148,0.2796,372.69191060215235
29,1573.715422153473,0.2801,385.9191110804677
30,1579.7457869052887,0.2812,399.30299414508045
31,1177.425931930542,0.2803,413.2133056856692
32,1285.0748069286346,0.2797,426.6893612034619
33,1342.1983144283295,0.2794,439.8281396329403
34,1386.733320236206,0.2816,453.00204259715974
35,1411.3646392822266,0.2823,466.3474718760699
36,1431.4337756633759,0.2822,479.4357122015208
37,1443.8663942813873,0.2842,493.1236359253526
38,1457.2838037014008,0.2851,506.09946765191853
39,1468.7168889045715,0.2853,520.3252442330122
40,1479.1401948928833,0.2858,533.7323048450053
41,1489.130132675171,0.2861,547.2149430122226
42,1502.8326661586761,0.2862,560.7175435982645
43,1508.0929653644562,0.287,574.0898370333016
44,1516.4540762901306,0.2874,587.9482415039092
45,1522.3950502872467,0.2885,601.1175852995366
46,1532.0840742588043,0.2885,614.791164310649
47,1540.299331188202,0.2879,627.9326540548354
48,1544.617689371109,0.2881,640.744501285255
49,1550.45116853714,0.2899,653.8477446772158
50,1557.6443939208984,0.2922,666.9907171353698
51,1569.087984085083,0.2923,680.2343872655183
52,1577.5511796474457,0.2938,693.4286518245935
53,1583.3982734680176,0.2942,707.1379722878337
54,1592.640145778656,0.2953,720.5142241194844
55,1598.509928226471,0.2952,733.5319206900895
56,1606.7762858867645,0.2969,747.0070952884853
57,1615.078283071518,0.2982,760.7102855723351
58,1625.7237014770508,0.2984,773.9145776908845
59,1633.3733637332916,0.2994,787.5457254238427
60,1644.5677433013916,0.3004,801.4977785684168
61,1260.6592059135437,0.2987,814.5330268088728
62,1533.5768160820007,0.2969,828.2894528992474
63,1615.0882790088654,0.2812,842.0960115324706
64,1648.135573387146,0.2859,856.3116255812347
65,1659.845403432846,0.2803,869.835899438709
66,1659.9630529880524,0.2827,883.4326382428408
67,1648.9899876117706,0.2845,896.8995787855238
68,1640.945613861084,0.2864,910.8138668499887
69,1642.7562837600708,0.2862,925.1515898723155
70,1650.1287457942963,0.2894,939.3216297328472
71,1654.5228083133698,0.2908,952.7194793056697
72,1656.4808731079102,0.2931,966.1055788416415
73,1664.9825930595398,0.2938,979.0275085549802
74,1675.332771539688,0.294,992.5187603086233
75,1685.4288239479065,0.2953,1006.4289961345494
76,1694.1742951869965,0.296,1019.5147135201842
77,1702.4822540283203,0.2975,1032.752326760441
78,1711.3348681926727,0.2978,1045.398324392736
79,1720.4913713932037,0.2993,1058.2318084370345
80,1725.9242615699768,0.3016,1071.3143870532513
81,1733.1847672462463,0.3032,1084.328674769029
82,1744.7593138217926,0.3027,1096.7469565682113
83,1749.7262880802155,0.3039,1110.2136085238308
84,1759.2911410331726,0.3048,1123.3136713653803
85,1767.7114851474762,0.3053,1136.8080168999732
86,1772.504934310913,0.3055,1149.6557234935462
87,1781.2475917339325,0.3062,1162.6127997096628
88,1788.560059785843,0.3074,1176.4136405494064
89,1802.155556678772,0.3089,1189.2961901370436
90,1813.2201008796692,0.3093,1202.8157556336373
91,1829.6312181949615,0.3103,1215.9182302001864
92,1840.3823714256287,0.311,1229.5361302010715
93,1853.281198501587,0.3114,1243.2324571944773
94,1886.203144788742,0.3107,1256.517038660124
95,1902.5917518138885,0.3104,1269.6179772410542
96,1917.6953885555267,0.3103,1283.2479221187532
97,1935.2005198001862,0.3106,1296.2342732604593
98,1947.7579004764557,0.31,1309.3912028335035
99,1973.4613964557648,0.3096,1322.7134090326726
100,1998.7556059360504,0.309,1336.0336502734572
