DEBUG flower 2021-04-10 15:52:17,490 | client.py:85 | Start SSP client without delay
DEBUG flower 2021-04-10 15:52:20,219 | connection.py:36 | ChannelConnectivity.IDLE
INFO flower 2021-04-10 15:52:20,221 | app.py:63 | Opened (insecure) gRPC connection
DEBUG flower 2021-04-10 15:52:20,221 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:52:20,221 | connection.py:36 | ChannelConnectivity.READY
DEBUG flower 2021-04-10 15:52:20,548 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:52:20,549 | numpy_client.py:172 | fit, FitIns(clock=0)
INFO flower 2021-04-10 15:52:20,549 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 15:52:20,549 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:52:20,628 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:52:20,629 | numpy_client.py:228 | read: ReadRes(clock=-1)
DEBUG flower 2021-04-10 15:52:20,645 | numpy_client.py:172 | fit, FitIns(clock=0)
DEBUG flower 2021-04-10 15:52:20,645 | numpy_client.py:260 | cached_clock: -1, curr_clock: 0
DEBUG flower 2021-04-10 15:52:24,013 | model_wrapper.py:21 | Load existing initial model
INFO flower 2021-04-10 15:52:24,017 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=0)
DEBUG flower 2021-04-10 15:52:24,018 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:52:24,040 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:52:24,040 | numpy_client.py:172 | fit, FitIns(clock=1)
DEBUG flower 2021-04-10 15:52:24,040 | numpy_client.py:260 | cached_clock: -1, curr_clock: 1
INFO flower 2021-04-10 15:52:27,420 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=1)
DEBUG flower 2021-04-10 15:52:27,421 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:52:27,442 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:52:27,442 | numpy_client.py:172 | fit, FitIns(clock=2)
DEBUG flower 2021-04-10 15:52:27,442 | numpy_client.py:260 | cached_clock: -1, curr_clock: 2
INFO flower 2021-04-10 15:52:27,442 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 15:52:27,443 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:53:40,101 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:53:40,101 | numpy_client.py:228 | read: ReadRes(clock=0)
DEBUG flower 2021-04-10 15:53:40,109 | numpy_client.py:172 | fit, FitIns(clock=2)
DEBUG flower 2021-04-10 15:53:40,109 | numpy_client.py:260 | cached_clock: 0, curr_clock: 2
INFO flower 2021-04-10 15:53:43,610 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=2)
DEBUG flower 2021-04-10 15:53:43,611 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:53:43,649 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:53:43,650 | numpy_client.py:172 | fit, FitIns(clock=3)
DEBUG flower 2021-04-10 15:53:43,650 | numpy_client.py:260 | cached_clock: 0, curr_clock: 3
INFO flower 2021-04-10 15:53:43,650 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 15:53:43,650 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:55:11,642 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:55:11,642 | numpy_client.py:228 | read: ReadRes(clock=1)
DEBUG flower 2021-04-10 15:55:11,650 | numpy_client.py:172 | fit, FitIns(clock=3)
DEBUG flower 2021-04-10 15:55:11,650 | numpy_client.py:260 | cached_clock: 1, curr_clock: 3
INFO flower 2021-04-10 15:55:15,009 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=3)
DEBUG flower 2021-04-10 15:55:15,009 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:55:15,033 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:55:15,033 | numpy_client.py:172 | fit, FitIns(clock=4)
DEBUG flower 2021-04-10 15:55:15,033 | numpy_client.py:260 | cached_clock: 1, curr_clock: 4
INFO flower 2021-04-10 15:55:15,033 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 15:55:15,034 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:56:25,901 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:56:25,901 | numpy_client.py:228 | read: ReadRes(clock=2)
DEBUG flower 2021-04-10 15:56:25,909 | numpy_client.py:172 | fit, FitIns(clock=4)
DEBUG flower 2021-04-10 15:56:25,909 | numpy_client.py:260 | cached_clock: 2, curr_clock: 4
INFO flower 2021-04-10 15:56:29,107 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=4)
DEBUG flower 2021-04-10 15:56:29,108 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:56:29,131 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:56:29,131 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-10 15:56:29,131 | numpy_client.py:260 | cached_clock: 2, curr_clock: 5
INFO flower 2021-04-10 15:56:29,131 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 15:56:29,132 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 15:57:21,220 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 15:57:21,221 | numpy_client.py:228 | read: ReadRes(clock=3)
DEBUG flower 2021-04-10 15:57:21,229 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-10 15:57:21,229 | numpy_client.py:260 | cached_clock: 3, curr_clock: 5
