DEBUG flower 2021-04-10 16:55:01,579 | client.py:83 | Start SSP client with delay [40,80]
DEBUG flower 2021-04-10 16:55:04,281 | connection.py:36 | ChannelConnectivity.IDLE
DEBUG flower 2021-04-10 16:55:04,282 | connection.py:36 | ChannelConnectivity.CONNECTING
INFO flower 2021-04-10 16:55:04,283 | app.py:63 | Opened (insecure) gRPC connection
DEBUG flower 2021-04-10 16:55:04,283 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:04,296 | connection.py:36 | ChannelConnectivity.READY
DEBUG flower 2021-04-10 16:55:09,980 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:09,980 | numpy_client.py:172 | fit, FitIns(clock=0)
INFO flower 2021-04-10 16:55:09,980 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 16:55:09,981 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:55:10,130 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:55:10,131 | numpy_client.py:228 | read: ReadRes(clock=-1)
DEBUG flower 2021-04-10 16:55:10,149 | numpy_client.py:172 | fit, FitIns(clock=0)
DEBUG flower 2021-04-10 16:55:10,149 | numpy_client.py:260 | cached_clock: -1, curr_clock: 0
DEBUG flower 2021-04-10 16:55:13,561 | model_wrapper.py:21 | Load existing initial model
INFO flower 2021-04-10 16:55:13,564 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=0)
INFO flower 2021-04-10 16:55:13,565 | chaos.py:14 | Delay 74 sec
DEBUG flower 2021-04-10 16:56:27,639 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:56:27,672 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:56:27,672 | numpy_client.py:172 | fit, FitIns(clock=1)
DEBUG flower 2021-04-10 16:56:27,673 | numpy_client.py:260 | cached_clock: -1, curr_clock: 1
INFO flower 2021-04-10 16:56:31,082 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=1)
INFO flower 2021-04-10 16:56:31,082 | chaos.py:14 | Delay 78 sec
DEBUG flower 2021-04-10 16:57:49,161 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:57:49,185 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:57:49,186 | numpy_client.py:172 | fit, FitIns(clock=2)
DEBUG flower 2021-04-10 16:57:49,186 | numpy_client.py:260 | cached_clock: -1, curr_clock: 2
INFO flower 2021-04-10 16:57:52,749 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=2)
INFO flower 2021-04-10 16:57:52,749 | chaos.py:14 | Delay 63 sec
DEBUG flower 2021-04-10 16:58:55,794 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:58:55,816 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:58:55,816 | numpy_client.py:172 | fit, FitIns(clock=3)
DEBUG flower 2021-04-10 16:58:55,816 | numpy_client.py:260 | cached_clock: -1, curr_clock: 3
INFO flower 2021-04-10 16:58:59,366 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=3)
INFO flower 2021-04-10 16:58:59,367 | chaos.py:14 | Delay 44 sec
DEBUG flower 2021-04-10 16:59:43,412 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 16:59:43,433 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 16:59:43,434 | numpy_client.py:172 | fit, FitIns(clock=4)
DEBUG flower 2021-04-10 16:59:43,434 | numpy_client.py:260 | cached_clock: -1, curr_clock: 4
INFO flower 2021-04-10 16:59:46,865 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=4)
INFO flower 2021-04-10 16:59:46,865 | chaos.py:14 | Delay 47 sec
DEBUG flower 2021-04-10 17:00:33,892 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:00:33,914 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 17:00:33,914 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-10 17:00:33,914 | numpy_client.py:260 | cached_clock: -1, curr_clock: 5
INFO flower 2021-04-10 17:00:33,914 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 17:00:33,915 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:00:33,997 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 17:00:33,998 | numpy_client.py:228 | read: ReadRes(clock=3)
DEBUG flower 2021-04-10 17:00:34,005 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-10 17:00:34,005 | numpy_client.py:260 | cached_clock: 3, curr_clock: 5
INFO flower 2021-04-10 17:00:37,369 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=5)
INFO flower 2021-04-10 17:00:37,369 | chaos.py:14 | Delay 47 sec
DEBUG flower 2021-04-10 17:01:24,396 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:01:24,420 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 17:01:24,421 | numpy_client.py:172 | fit, FitIns(clock=6)
DEBUG flower 2021-04-10 17:01:24,421 | numpy_client.py:260 | cached_clock: 3, curr_clock: 6
INFO flower 2021-04-10 17:01:27,762 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=6)
INFO flower 2021-04-10 17:01:27,762 | chaos.py:14 | Delay 79 sec
DEBUG flower 2021-04-10 17:02:46,785 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:02:46,808 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 17:02:46,809 | numpy_client.py:172 | fit, FitIns(clock=7)
DEBUG flower 2021-04-10 17:02:46,809 | numpy_client.py:260 | cached_clock: 3, curr_clock: 7
INFO flower 2021-04-10 17:02:50,248 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=7)
INFO flower 2021-04-10 17:02:50,249 | chaos.py:14 | Delay 79 sec
DEBUG flower 2021-04-10 17:04:09,326 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:04:09,349 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 17:04:09,350 | numpy_client.py:172 | fit, FitIns(clock=8)
DEBUG flower 2021-04-10 17:04:09,350 | numpy_client.py:260 | cached_clock: 3, curr_clock: 8
INFO flower 2021-04-10 17:04:12,750 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=8)
INFO flower 2021-04-10 17:04:12,750 | chaos.py:14 | Delay 45 sec
DEBUG flower 2021-04-10 17:04:57,796 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:04:57,820 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-10 17:04:57,820 | numpy_client.py:172 | fit, FitIns(clock=9)
DEBUG flower 2021-04-10 17:04:57,820 | numpy_client.py:260 | cached_clock: 3, curr_clock: 9
INFO flower 2021-04-10 17:04:57,820 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-10 17:04:57,821 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-10 17:04:57,849 | app.py:68 | Received server message. Handling...
