DEBUG flower 2021-04-11 17:23:46,922 | client.py:83 | Start SSP client with delay [60,180]
DEBUG flower 2021-04-11 17:23:54,729 | connection.py:36 | ChannelConnectivity.IDLE
DEBUG flower 2021-04-11 17:23:54,730 | connection.py:36 | ChannelConnectivity.READY
INFO flower 2021-04-11 17:23:54,730 | app.py:63 | Opened (insecure) gRPC connection
DEBUG flower 2021-04-11 17:23:54,730 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 20:20:10,708 | app.py:68 | Received server message. Handling...
INFO flower 2021-04-11 20:29:38,931 | numpy_client.py:250 | [32;1m Loss: 10.981, Accuracy: 22.973%[0m
DEBUG flower 2021-04-11 20:29:38,932 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 20:30:10,619 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 20:30:10,704 | connection.py:68 | Insecure gRPC channel closed
INFO flower 2021-04-11 20:30:10,704 | app.py:76 | Disconnect and shut down
Namespace(idx=5, max_delay=0, min_delay=0, num_clients=7, server_ip='10.244.2.62:8080', staleness_bound=1)
I'm client 5
Files already downloaded and verified
Files already downloaded and verified
[32;1mClient 5: 935 train samples, 74 test samples[0m
Files already downloaded and verified
Files already downloaded and verified
Testing on full test set: 313, 1383.523856163025, 0.3391
Testing on partial test set: 3, 10.980879783630371, 0.22972972972972974
 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:27:20,037 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:27:20,037 | numpy_client.py:238 | update_staleness: Staleness bound set to 30
DEBUG flower 2021-04-11 17:27:20,037 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:27:20,597 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:27:20,616 | numpy_client.py:172 | fit, FitIns(clock=1)
DEBUG flower 2021-04-11 17:27:20,616 | numpy_client.py:260 | cached_clock: -1, curr_clock: 1
INFO flower 2021-04-11 17:28:39,321 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=1)
INFO flower 2021-04-11 17:28:39,322 | chaos.py:14 | Delay 129 sec
DEBUG flower 2021-04-11 17:30:48,368 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:31:09,739 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:31:09,739 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:31:10,279 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:31:10,309 | numpy_client.py:172 | fit, FitIns(clock=2)
DEBUG flower 2021-04-11 17:31:10,309 | numpy_client.py:260 | cached_clock: -1, curr_clock: 2
INFO flower 2021-04-11 17:32:28,234 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=2)
INFO flower 2021-04-11 17:32:28,234 | chaos.py:14 | Delay 102 sec
DEBUG flower 2021-04-11 17:34:10,279 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:34:27,030 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:34:27,030 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:34:27,607 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:34:27,638 | numpy_client.py:172 | fit, FitIns(clock=3)
DEBUG flower 2021-04-11 17:34:27,638 | numpy_client.py:260 | cached_clock: -1, curr_clock: 3
INFO flower 2021-04-11 17:35:44,548 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=3)
INFO flower 2021-04-11 17:35:44,549 | chaos.py:14 | Delay 124 sec
DEBUG flower 2021-04-11 17:37:48,608 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:38:20,040 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:38:20,041 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:38:20,587 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:38:20,615 | numpy_client.py:172 | fit, FitIns(clock=4)
DEBUG flower 2021-04-11 17:38:20,615 | numpy_client.py:260 | cached_clock: -1, curr_clock: 4
INFO flower 2021-04-11 17:39:38,156 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=4)
INFO flower 2021-04-11 17:39:38,157 | chaos.py:14 | Delay 113 sec
DEBUG flower 2021-04-11 17:41:31,269 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:41:48,240 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:41:48,241 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:41:48,829 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:41:48,851 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-11 17:41:48,851 | numpy_client.py:260 | cached_clock: -1, curr_clock: 5
INFO flower 2021-04-11 17:43:05,944 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=5)
INFO flower 2021-04-11 17:43:05,944 | chaos.py:14 | Delay 65 sec
DEBUG flower 2021-04-11 17:44:10,968 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:44:35,914 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:44:35,914 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:44:36,455 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:44:36,480 | numpy_client.py:172 | fit, FitIns(clock=6)
DEBUG flower 2021-04-11 17:44:36,481 | numpy_client.py:260 | cached_clock: -1, curr_clock: 6
INFO flower 2021-04-11 17:45:53,139 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=6)
INFO flower 2021-04-11 17:45:53,140 | chaos.py:14 | Delay 125 sec
DEBUG flower 2021-04-11 17:47:58,155 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:48:14,615 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:48:14,616 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:48:15,348 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:48:15,376 | numpy_client.py:172 | fit, FitIns(clock=7)
DEBUG flower 2021-04-11 17:48:15,376 | numpy_client.py:260 | cached_clock: -1, curr_clock: 7
INFO flower 2021-04-11 17:49:32,045 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=7)
INFO flower 2021-04-11 17:49:32,046 | chaos.py:14 | Delay 96 sec
DEBUG flower 2021-04-11 17:51:08,106 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:51:24,694 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:51:24,694 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:51:25,581 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:51:25,603 | numpy_client.py:172 | fit, FitIns(clock=8)
DEBUG flower 2021-04-11 17:51:25,603 | numpy_client.py:260 | cached_clock: -1, curr_clock: 8
INFO flower 2021-04-11 17:52:41,345 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=8)
INFO flower 2021-04-11 17:52:41,346 | chaos.py:14 | Delay 158 sec
DEBUG flower 2021-04-11 17:55:19,458 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:55:44,537 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:55:44,538 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:55:45,103 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:55:45,128 | numpy_client.py:172 | fit, FitIns(clock=9)
DEBUG flower 2021-04-11 17:55:45,129 | numpy_client.py:260 | cached_clock: -1, curr_clock: 9
INFO flower 2021-04-11 17:57:01,156 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=9)
INFO flower 2021-04-11 17:57:01,156 | chaos.py:14 | Delay 151 sec
DEBUG flower 2021-04-11 17:59:32,172 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:59:49,333 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:59:49,333 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 17:59:49,886 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 17:59:49,907 | numpy_client.py:172 | fit, FitIns(clock=10)
DEBUG flower 2021-04-11 17:59:49,908 | numpy_client.py:260 | cached_clock: -1, curr_clock: 10
INFO flower 2021-04-11 18:01:07,210 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=10)
INFO flower 2021-04-11 18:01:07,211 | chaos.py:14 | Delay 132 sec
DEBUG flower 2021-04-11 18:03:19,323 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 18:03:35,614 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 18:03:35,614 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 18:03:36,218 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 18:03:36,245 | numpy_client.py:172 | fit, FitIns(clock=11)
DEBUG flower 2021-04-11 18:03:36,245 | numpy_client.py:260 | cached_clock: -1, curr_clock: 11
INFO flower 2021-04-11 18:04:53,655 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=11)
INFO flower 2021-04-11 18:04:53,655 | chaos.py:14 | Delay 144 sec
DEBUG flower 2021-04-11 18:07:17,748 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 18:07:34,316 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 18:07:34,316 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 18:07:35,206 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 18:07:35,231 | numpy_client.py:172 | fit, FitIns(clock=12)
DEBUG flower 2021-04-11 18:07:35,231 | numpy_client.py:260 | cached_clock: -1, curr_clock: 12
