DEBUG flower 2021-04-11 21:24:18,845 | client.py:85 | Start SSP client without delay
DEBUG flower 2021-04-11 21:24:20,903 | connection.py:36 | ChannelConnectivity.IDLE
DEBUG flower 2021-04-11 21:24:20,904 | connection.py:36 | ChannelConnectivity.READY
INFO flower 2021-04-11 21:24:20,905 | app.py:63 | Opened (insecure) gRPC connection
DEBUG flower 2021-04-11 21:24:20,905 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:24:23,470 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 21:24:23,482 | numpy_client.py:172 | fit, FitIns(clock=0)
INFO flower 2021-04-11 21:24:23,482 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 21:24:23,498 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:24:33,702 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 21:24:33,724 | numpy_client.py:228 | read: ReadRes(clock=-1)
DEBUG flower 2021-04-11 21:24:33,774 | numpy_client.py:172 | fit, FitIns(clock=0)
DEBUG flower 2021-04-11 21:24:33,774 | numpy_client.py:260 | cached_clock: -1, curr_clock: 0
DEBUG flower 2021-04-11 21:25:57,199 | model_wrapper.py:21 | Load existing initial model
INFO flower 2021-04-11 21:25:57,240 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=0)
DEBUG flower 2021-04-11 21:25:57,255 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:25:59,402 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 21:25:59,413 | numpy_client.py:172 | fit, FitIns(clock=1)
DEBUG flower 2021-04-11 21:25:59,413 | numpy_client.py:260 | cached_clock: -1, curr_clock: 1
INFO flower 2021-04-11 21:27:22,182 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=1)
DEBUG flower 2021-04-11 21:27:22,196 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:27:23,461 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 21:27:23,482 | numpy_client.py:172 | fit, FitIns(clock=2)
DEBUG flower 2021-04-11 21:27:23,483 | numpy_client.py:260 | cached_clock: -1, curr_clock: 2
INFO flower 2021-04-11 21:27:23,483 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 21:27:23,502 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:28:09,595 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 21:28:09,624 | numpy_client.py:228 | read: ReadRes(clock=0)
DEBUG flower 2021-04-11 21:28:09,664 | numpy_client.py:172 | fit, FitIns(clock=2)
DEBUG flower 2021-04-11 21:28:09,664 | numpy_client.py:260 | cached_clock: 0, curr_clock: 2
INFO flower 2021-04-11 21:29:33,406 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=2)
DEBUG flower 2021-04-11 21:29:33,433 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:29:34,597 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 21:29:34,611 | numpy_client.py:172 | fit, FitIns(clock=3)
DEBUG flower 2021-04-11 21:29:34,612 | numpy_client.py:260 | cached_clock: 0, curr_clock: 3
INFO flower 2021-04-11 21:29:34,612 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 21:29:34,627 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:31:29,875 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 21:31:29,899 | numpy_client.py:228 | read: ReadRes(clock=1)
DEBUG flower 2021-04-11 21:31:29,942 | numpy_client.py:172 | fit, FitIns(clock=3)
DEBUG flower 2021-04-11 21:31:29,942 | numpy_client.py:260 | cached_clock: 1, curr_clock: 3
INFO flower 2021-04-11 21:32:49,908 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=3)
DEBUG flower 2021-04-11 21:32:49,929 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:32:51,038 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 21:32:51,058 | numpy_client.py:172 | fit, FitIns(clock=4)
DEBUG flower 2021-04-11 21:32:51,058 | numpy_client.py:260 | cached_clock: 1, curr_clock: 4
INFO flower 2021-04-11 21:32:51,058 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 21:32:51,076 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:34:52,530 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 21:34:52,557 | numpy_client.py:228 | read: ReadRes(clock=2)
DEBUG flower 2021-04-11 21:34:52,599 | numpy_client.py:172 | fit, FitIns(clock=4)
DEBUG flower 2021-04-11 21:34:52,599 | numpy_client.py:260 | cached_clock: 2, curr_clock: 4
INFO flower 2021-04-11 21:36:11,112 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=4)
DEBUG flower 2021-04-11 21:36:11,131 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:36:12,279 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 21:36:12,299 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-11 21:36:12,299 | numpy_client.py:260 | cached_clock: 2, curr_clock: 5
INFO flower 2021-04-11 21:36:12,299 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 21:36:12,316 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:38:17,877 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 21:38:17,904 | numpy_client.py:228 | read: ReadRes(clock=3)
DEBUG flower 2021-04-11 21:38:17,961 | numpy_client.py:172 | fit, FitIns(clock=5)
DEBUG flower 2021-04-11 21:38:17,961 | numpy_client.py:260 | cached_clock: 3, curr_clock: 5
INFO flower 2021-04-11 21:39:38,106 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=5)
DEBUG flower 2021-04-11 21:39:38,125 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:39:39,258 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 21:39:39,278 | numpy_client.py:172 | fit, FitIns(clock=6)
DEBUG flower 2021-04-11 21:39:39,278 | numpy_client.py:260 | cached_clock: 3, curr_clock: 6
INFO flower 2021-04-11 21:39:39,278 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 21:39:39,295 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:41:39,507 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 21:41:39,537 | numpy_client.py:228 | read: ReadRes(clock=4)
DEBUG flower 2021-04-11 21:41:39,581 | numpy_client.py:172 | fit, FitIns(clock=6)
DEBUG flower 2021-04-11 21:41:39,581 | numpy_client.py:260 | cached_clock: 4, curr_clock: 6
INFO flower 2021-04-11 21:42:58,207 | numpy_client.py:205 | Cache is fresh, return FitRes(clock=6)
DEBUG flower 2021-04-11 21:42:58,225 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:42:59,367 | app.py:68 | Received server message. Handling...
DEBUG flower 2021-04-11 21:42:59,387 | numpy_client.py:172 | fit, FitIns(clock=7)
DEBUG flower 2021-04-11 21:42:59,387 | numpy_client.py:260 | cached_clock: 4, curr_clock: 7
INFO flower 2021-04-11 21:42:59,387 | numpy_client.py:184 | Cache is stale, return ReadIns
DEBUG flower 2021-04-11 21:42:59,404 | app.py:66 | Waiting for message from server...
DEBUG flower 2021-04-11 21:45:01,221 | app.py:68 | Received server message. Handling...
