INFO flower 2021-04-11 21:24:15,296 | app.py:87 | Flower server running (insecure, 50 rounds)
INFO flower 2021-04-11 21:24:47,322 | server_ssp.py:81 | fit progress1: (0, 177.6572299003601, 0.239, 0)
DEBUG flower 2021-04-11 21:24:47,323 | server_ssp.py:88 | ServerSSP sampling clients...
DEBUG flower 2021-04-11 21:24:21,216 | server_ssp.py:92 | Initializing clocks for clients...
DEBUG flower 2021-04-11 21:24:21,217 | server_ssp.py:97 | Starting concurrent threads for clients...
INFO flower 2021-04-11 21:24:21,218 | server_ssp.py:116 | server starts round 0 for client ipv4:10.244.36.35:45814
INFO flower 2021-04-11 21:24:21,218 | server_ssp.py:119 | server send FitIns(clock=0) to client ipv4:10.244.36.35:45814
INFO flower 2021-04-11 21:24:21,224 | server_ssp.py:116 | server starts round 0 for client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:24:21,224 | server_ssp.py:119 | server send FitIns(clock=0) to client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:24:21,235 | server_ssp.py:116 | server starts round 0 for client ipv4:10.244.49.34:37540
INFO flower 2021-04-11 21:24:21,235 | server_ssp.py:119 | server send FitIns(clock=0) to client ipv4:10.244.49.34:37540
INFO flower 2021-04-11 21:24:21,357 | server_ssp.py:116 | server starts round 0 for client ipv4:10.244.34.35:43706
INFO flower 2021-04-11 21:24:21,358 | server_ssp.py:119 | server send FitIns(clock=0) to client ipv4:10.244.34.35:43706
INFO flower 2021-04-11 21:24:21,399 | server_ssp.py:116 | server starts round 0 for client ipv4:10.244.5.63:54706
INFO flower 2021-04-11 21:24:21,400 | server_ssp.py:119 | server send FitIns(clock=0) to client ipv4:10.244.5.63:54706
INFO flower 2021-04-11 21:24:21,444 | server_ssp.py:116 | server starts round 0 for client ipv4:10.244.55.36:50524
INFO flower 2021-04-11 21:24:21,444 | server_ssp.py:119 | server send FitIns(clock=0) to client ipv4:10.244.55.36:50524
INFO flower 2021-04-11 21:24:21,460 | server_ssp.py:116 | server starts round 0 for client ipv4:10.244.55.36:50508
INFO flower 2021-04-11 21:24:21,460 | server_ssp.py:119 | server send FitIns(clock=0) to client ipv4:10.244.55.36:50508
INFO flower 2021-04-11 21:24:25,208 | server_ssp.py:129 | server receives ReadIns from client ipv4:10.244.49.34:37540
INFO flower 2021-04-11 21:24:25,422 | server_ssp.py:135 | server sends back ReadRes(clock=-1) to client ipv4:10.244.49.34:37540
INFO flower 2021-04-11 21:24:28,616 | server_ssp.py:129 | server receives ReadIns from client ipv4:10.244.36.35:45814
INFO flower 2021-04-11 21:24:29,323 | server_ssp.py:135 | server sends back ReadRes(clock=-1) to client ipv4:10.244.36.35:45814
INFO flower 2021-04-11 21:24:29,715 | server_ssp.py:129 | server receives ReadIns from client ipv4:10.244.34.35:43706
INFO flower 2021-04-11 21:24:31,036 | server_ssp.py:129 | server receives ReadIns from client ipv4:10.244.55.36:50524
INFO flower 2021-04-11 21:24:31,129 | server_ssp.py:135 | server sends back ReadRes(clock=-1) to client ipv4:10.244.34.35:43706
INFO flower 2021-04-11 21:24:32,316 | server_ssp.py:129 | server receives ReadIns from client ipv4:10.244.36.35:45822
INFO flower 2021-04-11 21:24:32,610 | server_ssp.py:129 | server receives ReadIns from client ipv4:10.244.55.36:50508
INFO flower 2021-04-11 21:24:32,630 | server_ssp.py:135 | server sends back ReadRes(clock=-1) to client ipv4:10.244.55.36:50524
INFO flower 2021-04-11 21:24:33,929 | server_ssp.py:135 | server sends back ReadRes(clock=-1) to client ipv4:10.244.55.36:50508
INFO flower 2021-04-11 21:24:34,230 | server_ssp.py:129 | server receives ReadIns from client ipv4:10.244.5.63:54706
INFO flower 2021-04-11 21:24:34,919 | server_ssp.py:135 | server sends back ReadRes(clock=-1) to client ipv4:10.244.36.35:45822
