round,loss,accuracy,time
0,77.50149607658386,0.089,0
0,213.49627208709717,0.103,108.16391914151609
0,219.23919248580933,0.103,166.79108899831772
0,225.2724437713623,0.103,238.88847054354846
1,106.33303666114807,0.279,271.952395837754
1,232.25734043121338,0.103,342.962679868564
1,236.0231490135193,0.103,414.4985590837896
2,190.83199906349182,0.169,491.69225757196546
2,111.38180637359619,0.29,501.6544831395149
2,226.1645245552063,0.249,560.5383784398437
2,197.10665464401245,0.276,662.4257065858692
3,111.09624135494232,0.309,698.9455190543085
3,224.33847761154175,0.219,777.3663586173207
3,199.8776421546936,0.266,849.4242983218282
4,113.15119075775146,0.352,931.0516789369285
4,111.20911192893982,0.349,931.9564612749964
4,200.81883907318115,0.278,979.9067962374538
4,201.6417465209961,0.277,1052.3210706077516
4,227.6655149459839,0.225,1114.723737994209
5,117.20264959335327,0.348,1140.1566325109452
5,228.00323057174683,0.229,1213.20507321693
6,157.317134141922,0.298,1300.8925708346069
6,122.3372642993927,0.321,1307.8300581406802
6,209.98111009597778,0.231,1388.6088499557227
6,205.03544759750366,0.274,1468.0011694394052
7,123.77978610992432,0.336,1526.5310906879604
7,221.68371534347534,0.245,1597.7419865690172
7,211.69686126708984,0.227,1684.5062809437513
8,123.54127907752991,0.348,1716.609845655039
8,231.0052351951599,0.226,1806.3032195623964
8,206.28282594680786,0.28,1886.7169288601726
9,158.50368666648865,0.331,1969.2099795639515
9,126.89813613891602,0.341,1976.4544673394412
9,206.6928629875183,0.277,2042.8294302877039
9,207.4209804534912,0.276,2116.1038028635085
9,209.48102235794067,0.273,2189.7199015915394
10,127.51401877403259,0.34,2221.254567902535
10,233.47278881072998,0.227,2319.9112159814686
10,223.45922327041626,0.251,2401.744154639542
11,128.64260721206665,0.336,2447.538647962734
11,215.25010013580322,0.226,2549.4813363607973
11,222.13781118392944,0.243,2630.959352919832
12,128.52954864501953,0.345,2686.242689939216
12,246.17850017547607,0.255,2748.4988581147045
12,235.49509382247925,0.226,2821.328025471419
12,240.7656979560852,0.176,2915.8082413952798
13,129.67263054847717,0.337,2935.699510095641
13,235.68417644500732,0.225,2998.7153389733285
13,242.41860389709473,0.231,3067.8966906927526
13,240.09636735916138,0.236,3155.088161962107
14,130.30775427818298,0.338,3191.630901116878
14,236.518217086792,0.227,3262.6990004125983
14,248.08575773239136,0.253,3352.700081350282
15,131.05851650238037,0.334,3381.8419811148196
15,236.68749380111694,0.225,3446.422142121941
15,248.61131763458252,0.254,3533.8098177891225
15,227.95146894454956,0.249,3601.3385983686894
16,130.73502039909363,0.338,3640.351365527138
16,236.42778205871582,0.225,3706.5213682726026
16,236.59553289413452,0.225,3803.899731297046
17,131.06086134910583,0.338,3867.04934941791
17,228.73196029663086,0.246,3928.455197740346
17,237.3531994819641,0.226,4061.3019920140505
18,131.94077849388123,0.339,4113.831021163613
18,247.2729835510254,0.159,4187.996756086126
18,229.5086212158203,0.249,4256.033000135794
19,132.32775592803955,0.338,4362.749442255124
19,157.7982521057129,0.242,4422.411068588495
19,229.29166412353516,0.253,4491.558589912951
20,133.18568229675293,0.337,4604.756674539298
20,170.55981254577637,0.186,4679.006974861026
21,133.23526453971863,0.341,4759.930902279913
21,231.14540004730225,0.247,4846.46056002751
22,132.79718136787415,0.342,4987.133666943759
23,133.57886815071106,0.343,5158.148979214951
24,135.40018224716187,0.34,5435.348902350292
24,133.72029495239258,0.343,5436.027838451788
24,231.49635982513428,0.248,5597.575635870919
25,133.93480849266052,0.337,5622.352369075641
