round,loss,accuracy,time
0,1000,0.0043,0
0,1000,0.003,50
0,1000,0.013,100
0,1000,0.034,150
0,1000,0.0221,200
0,1000,0.034553,250
0,1000,0.035625,300
0,1000,0.046565,350
0,1000,0.06574,400
0,1000,0.02375,450
0,1000,0.056765,500
0,1000,0.076756,550
0,1000,0.0765564,600
0,1000,0.09414,650
0,1000,0.10342756,700
0,1000,0.1343646,750
0,1000,0.1134645757,800
0,1000,0.145975,800
0,1000,0.1655465,850
0,1000,0.1798769,900
0,1000,0.1873,950
0,1000,0.1647,1000
0,1000,0.206767854,1050
0,1000,0.2042565,1100
0,1000,0.23234324,1150
0,1000,0.21,1200
0,1000,0.20455,1250
0,1000,0.2458791,1300
0,1000,0.2116,1350
0,1000,0.223214,1400
0,1000,0.245436,1450
0,1000,0.256,1500
0,1000,0.22345,1550
0,1000,0.27,1600
0,1000,0.279,1670
0,1000,0.264,1700
0,1000,0.260,1760
0,1000,0.271234,1800
0,1000,0.2789,1850
0,1000,0.27,1900
0,1000,0.274,1950
0,1000,0.276,2000
0,1000,0.271,2150
0,1000,0.276,2200
0,1000,0.27554,2250
0,1000,0.2967854,2300
0,1000,0.2565,2300
0,1000,0.275656,2350
0,1000,0.24564,2400
0,1000,0.2746567,2450
0,1000,0.27123435,2500
0,1000,0.2778960,2550
0,1000,0.27678,2600
0,1000,0.2901,2650
0,1000,0.2889,2700
0,1000,0.27778,2750
0,1000,0.278,2800
0,1000,0.286745,2850
0,1000,0.2611,2900
0,1000,0.2777,2950
