round,loss,accuracy,time
0,1000,0.045,0
0,1000,0.038,50
0,1000,0.07,100
0,1000,0.086754,150
0,1000,0.075689,200
0,1000,0.12423,250
0,1000,0.11425,300
0,1000,0.13,350
0,1000,0.1286,400
0,1000,0.125,450
0,1000,0.137895,500
0,1000,0.1486,550
0,1000,0.15304,600
0,1000,0.154,650
0,1000,0.15556,700
0,1000,0.1566,750
0,1000,0.18757,800
0,1000,0.19,800
0,1000,0.205,850
0,1000,0.189,900
0,1000,0.196,950
0,1000,0.2035,1000
0,1000,0.21767854,1050
0,1000,0.2242565,1100
0,1000,0.2334324,1150
0,1000,0.2324,1200
0,1000,0.23455,1250
0,1000,0.2458791,1300
0,1000,0.25916,1350
0,1000,0.2533214,1400
0,1000,0.2605436,1450
0,1000,0.265349,1500
0,1000,0.27,1550
0,1000,0.27743,1600
0,1000,0.2895643,1650
0,1000,0.29014,1700
0,1000,0.295,1750
0,1000,0.302131,1800
0,1000,0.3114345546,1850
0,1000,0.2954,1900
0,1000,0.294,1950
0,1000,0.29,2000
0,1000,0.29,2050
0,1000,0.29645,2100
0,1000,0.3053425,2150
0,1000,0.296,2200
0,1000,0.298795647,2250
0,1000,0.30,2300
0,1000,0.291,2300
0,1000,0.303,2350
0,1000,0.296,2400
0,1000,0.305,2450
0,1000,0.31,2500
0,1000,0.309,2550
0,1000,0.299,2600
0,1000,0.303,2650
0,1000,0.306,2700
0,1000,0.31001,2750
0,1000,0.299045,2800
0,1000,0.297,2850
0,1000,0.309,2900
0,1000,0.30006,2950
