INFO flower 2021-04-09 22:24:14,447 | app.py:87 | Flower server running (insecure, 25 rounds)
INFO flower 2021-04-09 22:24:51,522 | server_ssp.py:92 | fit progress1: (0, 2041.1785039901733, 0.017204301075268817, 0)
INFO flower 2021-04-09 22:24:51,524 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.3.57:49372
INFO flower 2021-04-09 22:24:51,524 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.3.57:49372
INFO flower 2021-04-09 22:24:51,539 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.41.47:38956
INFO flower 2021-04-09 22:24:51,539 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.41.47:38956
INFO flower 2021-04-09 22:24:51,552 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.43.33:52592
INFO flower 2021-04-09 22:24:51,565 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.22.48:54578
INFO flower 2021-04-09 22:24:51,565 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.43.33:52592
INFO flower 2021-04-09 22:24:51,566 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.53.49:54118
INFO flower 2021-04-09 22:24:51,566 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.36.31:35742
INFO flower 2021-04-09 22:24:51,567 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.22.48:54578
INFO flower 2021-04-09 22:24:51,567 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.7.56:48572
INFO flower 2021-04-09 22:24:51,599 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.7.56:48572
INFO flower 2021-04-09 22:24:51,576 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.2.55:52516
INFO flower 2021-04-09 22:24:51,629 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.2.55:52516
INFO flower 2021-04-09 22:24:51,591 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.40.33:46486
INFO flower 2021-04-09 22:24:51,642 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.40.33:46486
INFO flower 2021-04-09 22:24:51,598 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.25.48:51298
INFO flower 2021-04-09 22:24:51,676 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.25.48:51298
INFO flower 2021-04-09 22:24:51,605 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.18.33:36706
INFO flower 2021-04-09 22:24:51,628 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.4.58:60942
INFO flower 2021-04-09 22:24:51,716 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.4.58:60942
INFO flower 2021-04-09 22:24:51,590 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.27.32:43474
INFO flower 2021-04-09 22:24:51,591 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.36.31:35742
INFO flower 2021-04-09 22:24:51,576 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.53.49:54118
INFO flower 2021-04-09 22:24:51,683 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.59.31:42848
INFO flower 2021-04-09 22:24:51,689 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.3.57:49372
INFO flower 2021-04-09 22:24:51,698 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.37.33:43842
INFO flower 2021-04-09 22:24:51,704 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.18.33:36706
INFO flower 2021-04-09 22:24:51,635 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.5.56:56926
INFO flower 2021-04-09 22:24:51,728 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.27.32:43474
INFO flower 2021-04-09 22:24:51,745 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.30.46:37214
INFO flower 2021-04-09 22:24:51,767 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.38.48:36198
INFO flower 2021-04-09 22:24:51,867 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.38.48:36198
INFO flower 2021-04-09 22:24:51,792 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.59.31:42848
INFO flower 2021-04-09 22:24:51,792 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.31.32:35566
INFO flower 2021-04-09 22:24:51,921 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.31.32:35566
