INFO flower 2021-04-07 23:18:33,633 | app.py:87 | Flower server running (insecure, 30 rounds)
INFO flower 2021-04-07 23:19:10,412 | server_ssp.py:102 | fit progress1: (0, 2044.0207118988037, 0.012903225806451613, 0)
INFO flower 2021-04-07 23:19:10,415 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.30.34:38922
INFO flower 2021-04-07 23:19:10,416 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.30.34:38922
INFO flower 2021-04-07 23:19:10,424 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.58.34:57444
INFO flower 2021-04-07 23:19:10,424 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.58.34:57444
INFO flower 2021-04-07 23:19:10,437 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.47.23:44160
INFO flower 2021-04-07 23:19:10,437 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.47.23:44160
INFO flower 2021-04-07 23:19:10,445 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.27.25:33300
INFO flower 2021-04-07 23:19:10,446 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.27.25:33300
INFO flower 2021-04-07 23:19:10,452 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.48.37:51034
INFO flower 2021-04-07 23:19:10,453 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.48.37:51034
INFO flower 2021-04-07 23:19:10,488 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.22.36:47530
INFO flower 2021-04-07 23:19:10,488 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.22.36:47530
INFO flower 2021-04-07 23:19:10,541 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.44.36:43308
INFO flower 2021-04-07 23:19:10,541 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.44.36:43308
INFO flower 2021-04-07 23:19:10,563 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.23.26:33284
INFO flower 2021-04-07 23:19:10,563 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.23.26:33284
INFO flower 2021-04-07 23:19:10,570 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.55.26:56068
INFO flower 2021-04-07 23:19:10,570 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.55.26:56068
INFO flower 2021-04-07 23:19:10,585 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.37.25:54860
INFO flower 2021-04-07 23:19:10,615 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.41.35:33938
INFO flower 2021-04-07 23:19:10,615 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.37.25:54860
INFO flower 2021-04-07 23:19:10,616 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.2.43:46668
INFO flower 2021-04-07 23:19:10,616 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.41.35:33938
INFO flower 2021-04-07 23:19:10,624 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.42.24:51988
INFO flower 2021-04-07 23:19:10,664 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.42.24:51988
INFO flower 2021-04-07 23:19:10,624 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.53.37:44358
INFO flower 2021-04-07 23:19:10,645 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.6.46:42736
INFO flower 2021-04-07 23:19:10,691 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.6.46:42736
INFO flower 2021-04-07 23:19:10,672 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.35.36:54770
INFO flower 2021-04-07 23:19:10,672 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.53.37:44358
INFO flower 2021-04-07 23:19:10,681 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.59.24:34344
INFO flower 2021-04-07 23:19:10,690 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.5.44:58378
INFO flower 2021-04-07 23:19:10,690 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.7.44:52372
INFO flower 2021-04-07 23:19:10,624 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.2.43:46668
INFO flower 2021-04-07 23:19:10,697 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.50.34:51550
INFO flower 2021-04-07 23:19:10,698 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.35.36:54770
INFO flower 2021-04-07 23:19:10,720 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.59.24:34344
INFO flower 2021-04-07 23:19:10,728 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.46.27:35472
INFO flower 2021-04-07 23:19:10,728 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.5.44:58378
INFO flower 2021-04-07 23:19:10,739 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.7.44:52372
INFO flower 2021-04-07 23:19:10,744 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.27.25:33300
INFO flower 2021-04-07 23:19:10,761 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.29.26:56044
INFO flower 2021-04-07 23:19:10,770 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.50.34:51550
INFO flower 2021-04-07 23:19:10,770 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.8.46:38402
INFO flower 2021-04-07 23:19:10,809 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.46.27:35472
INFO flower 2021-04-07 23:19:10,809 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.3.45:35140
INFO flower 2021-04-07 23:19:10,953 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.3.45:35140
INFO flower 2021-04-07 23:19:10,858 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.34.26:48292
INFO flower 2021-04-07 23:19:10,865 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.38.36:34440
INFO flower 2021-04-07 23:19:11,001 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.38.36:34440
INFO flower 2021-04-07 23:19:10,892 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.57.38:60900
INFO flower 2021-04-07 23:19:10,903 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.30.34:38922
INFO flower 2021-04-07 23:19:10,911 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.36.25:52900
INFO flower 2021-04-07 23:19:10,912 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.29.26:56044
INFO flower 2021-04-07 23:19:10,917 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.58.34:57444
INFO flower 2021-04-07 23:19:10,918 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.26.33:42484
INFO flower 2021-04-07 23:19:10,923 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.47.23:44160
INFO flower 2021-04-07 23:19:10,931 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.8.46:38402
INFO flower 2021-04-07 23:19:10,952 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.51.37:50526
INFO flower 2021-04-07 23:19:10,823 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.4.46:44822
INFO flower 2021-04-07 23:19:10,989 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.34.26:48292
INFO flower 2021-04-07 23:19:11,001 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.22.36:47530
INFO flower 2021-04-07 23:19:10,891 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.27.25:33300
INFO flower 2021-04-07 23:19:11,016 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.57.38:60900
INFO flower 2021-04-07 23:19:11,033 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.23.26:33284
INFO flower 2021-04-07 23:19:11,041 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.36.25:52900
INFO flower 2021-04-07 23:19:11,043 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.30.34:38922
INFO flower 2021-04-07 23:19:11,063 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.58.34:57444
INFO flower 2021-04-07 23:19:11,074 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.48.37:51034
INFO flower 2021-04-07 23:19:11,074 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.26.33:42484
INFO flower 2021-04-07 23:19:11,101 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.6.46:42736
INFO flower 2021-04-07 23:19:11,133 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.51.37:50526
INFO flower 2021-04-07 23:19:11,137 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.47.23:44160
INFO flower 2021-04-07 23:19:11,138 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.4.46:44822
INFO flower 2021-04-07 23:19:11,165 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.22.36:47530
INFO flower 2021-04-07 23:19:11,207 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.53.37:44358
INFO flower 2021-04-07 23:19:11,237 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.23.26:33284
INFO flower 2021-04-07 23:19:11,271 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.55.26:56068
INFO flower 2021-04-07 23:19:11,343 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.2.43:46668
INFO flower 2021-04-07 23:19:11,379 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.7.44:52372
INFO flower 2021-04-07 23:19:11,389 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.44.36:43308
INFO flower 2021-04-07 23:19:11,390 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.48.37:51034
INFO flower 2021-04-07 23:19:11,400 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.41.35:33938
INFO flower 2021-04-07 23:19:11,422 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.6.46:42736
INFO flower 2021-04-07 23:19:11,428 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.42.24:51988
INFO flower 2021-04-07 23:19:11,502 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.37.25:54860
INFO flower 2021-04-07 23:19:11,539 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.59.24:34344
INFO flower 2021-04-07 23:19:11,580 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.53.37:44358
INFO flower 2021-04-07 23:19:11,583 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.8.46:38402
INFO flower 2021-04-07 23:19:11,612 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.38.36:34440
INFO flower 2021-04-07 23:19:11,637 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.2.43:46668
INFO flower 2021-04-07 23:19:11,661 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.50.34:51550
INFO flower 2021-04-07 23:19:11,664 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.35.36:54770
INFO flower 2021-04-07 23:19:11,667 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.55.26:56068
INFO flower 2021-04-07 23:19:11,671 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.34.26:48292
INFO flower 2021-04-07 23:19:11,684 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.5.44:58378
