INFO flower 2021-04-10 00:41:52,549 | app.py:87 | Flower server running (insecure, 25 rounds)
INFO flower 2021-04-10 00:42:29,716 | server_ssp.py:92 | fit progress1: (0, 2033.263301372528, 0.021505376344086023, 0)
INFO flower 2021-04-10 00:42:29,719 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.25.48:51306
INFO flower 2021-04-10 00:42:29,719 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.25.48:51306
INFO flower 2021-04-10 00:42:29,727 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.40.33:46494
INFO flower 2021-04-10 00:42:29,727 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.40.33:46494
INFO flower 2021-04-10 00:42:29,743 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.6.58:47944
INFO flower 2021-04-10 00:42:29,743 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.6.58:47944
INFO flower 2021-04-10 00:42:29,749 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.53.49:54126
INFO flower 2021-04-10 00:42:29,750 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.53.49:54126
INFO flower 2021-04-10 00:42:29,769 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.50.46:60090
INFO flower 2021-04-10 00:42:29,769 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.50.46:60090
INFO flower 2021-04-10 00:42:29,790 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.26.45:39390
INFO flower 2021-04-10 00:42:29,790 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.26.45:39390
INFO flower 2021-04-10 00:42:29,794 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.30.46:37222
INFO flower 2021-04-10 00:42:29,829 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.55.32:33422
INFO flower 2021-04-10 00:42:29,845 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.44.49:50174
INFO flower 2021-04-10 00:42:29,852 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.30.46:37222
INFO flower 2021-04-10 00:42:29,853 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.55.32:33422
INFO flower 2021-04-10 00:42:29,854 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.2.55:52524
INFO flower 2021-04-10 00:42:29,854 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.44.49:50174
INFO flower 2021-04-10 00:42:29,860 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.48.49:57406
INFO flower 2021-04-10 00:42:29,876 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.38.48:36206
INFO flower 2021-04-10 00:42:29,882 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.8.58:48822
INFO flower 2021-04-10 00:42:29,889 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.2.55:52524
INFO flower 2021-04-10 00:42:29,911 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.48.49:57406
INFO flower 2021-04-10 00:42:29,918 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.38.48:36206
INFO flower 2021-04-10 00:42:29,919 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.4.58:60950
INFO flower 2021-04-10 00:42:29,929 | server_ssp.py:127 | server send FitIns(clock=0) to client ipv4:10.244.8.58:48822
INFO flower 2021-04-10 00:42:29,935 | server_ssp.py:137 | server receives ReadIns from client ipv4:10.244.6.58:47944
INFO flower 2021-04-10 00:42:29,955 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.35.48:53166
INFO flower 2021-04-10 00:42:29,964 | server_ssp.py:124 | server starts round 0 for client ipv4:10.244.31.32:35574
