INFO flower 2021-04-07 22:11:14,632 | app.py:87 | Flower server running (insecure, 30 rounds)
INFO flower 2021-04-07 22:11:51,117 | server_ssp.py:102 | fit progress1: (0, 2037.1845898628235, 0.017204301075268817, 0)
INFO flower 2021-04-07 22:11:51,119 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.26.33:42476
INFO flower 2021-04-07 22:11:51,119 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.26.33:42476
INFO flower 2021-04-07 22:11:51,126 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.4.46:44814
INFO flower 2021-04-07 22:11:51,126 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.4.46:44814
INFO flower 2021-04-07 22:11:51,138 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.44.36:43300
INFO flower 2021-04-07 22:11:51,138 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.44.36:43300
INFO flower 2021-04-07 22:11:51,162 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.55.26:56060
INFO flower 2021-04-07 22:11:51,163 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.55.26:56060
INFO flower 2021-04-07 22:11:51,191 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.8.46:38392
INFO flower 2021-04-07 22:11:51,191 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.8.46:38392
INFO flower 2021-04-07 22:11:51,204 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.37.25:54852
INFO flower 2021-04-07 22:11:51,204 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.37.25:54852
INFO flower 2021-04-07 22:11:51,224 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.30.34:38914
INFO flower 2021-04-07 22:11:51,224 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.30.34:38914
INFO flower 2021-04-07 22:11:51,281 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.7.44:52364
INFO flower 2021-04-07 22:11:51,281 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.7.44:52364
INFO flower 2021-04-07 22:11:51,306 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.36.25:52890
INFO flower 2021-04-07 22:11:51,306 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.36.25:52890
INFO flower 2021-04-07 22:11:51,313 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.51.37:50516
INFO flower 2021-04-07 22:11:51,313 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.51.37:50516
INFO flower 2021-04-07 22:11:51,337 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.2.43:46660
INFO flower 2021-04-07 22:11:51,337 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.2.43:46660
INFO flower 2021-04-07 22:11:51,351 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.38.36:34432
INFO flower 2021-04-07 22:11:51,351 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.38.36:34432
INFO flower 2021-04-07 22:11:51,395 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.29.26:56036
INFO flower 2021-04-07 22:11:51,396 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.29.26:56036
INFO flower 2021-04-07 22:11:51,408 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.59.24:34336
INFO flower 2021-04-07 22:11:51,429 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.4.46:44814
INFO flower 2021-04-07 22:11:51,432 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.59.24:34336
INFO flower 2021-04-07 22:11:51,446 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.26.33:42476
INFO flower 2021-04-07 22:11:51,446 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.57.38:60892
INFO flower 2021-04-07 22:11:51,496 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.57.38:60892
INFO flower 2021-04-07 22:11:51,466 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.27.25:33292
INFO flower 2021-04-07 22:11:51,473 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.22.36:47522
INFO flower 2021-04-07 22:11:51,530 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.22.36:47522
INFO flower 2021-04-07 22:11:51,489 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.58.34:57436
INFO flower 2021-04-07 22:11:51,465 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.4.46:44814
INFO flower 2021-04-07 22:11:51,509 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.42.24:51980
INFO flower 2021-04-07 22:11:51,510 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.26.33:42476
INFO flower 2021-04-07 22:11:51,511 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.27.25:33292
INFO flower 2021-04-07 22:11:51,523 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.47.23:44152
INFO flower 2021-04-07 22:11:51,488 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.53.37:44350
INFO flower 2021-04-07 22:11:51,539 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.44.36:43300
INFO flower 2021-04-07 22:11:51,548 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.58.34:57436
INFO flower 2021-04-07 22:11:51,560 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.37.25:54852
INFO flower 2021-04-07 22:11:51,578 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.42.24:51980
INFO flower 2021-04-07 22:11:51,578 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.35.36:54760
INFO flower 2021-04-07 22:11:51,598 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.3.45:35132
INFO flower 2021-04-07 22:11:51,605 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.47.23:44152
INFO flower 2021-04-07 22:11:51,605 | server_ssp.py:137 | server send FitIns(clock=0) to client ipv4:10.244.53.37:44350
INFO flower 2021-04-07 22:11:51,643 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.5.44:58370
INFO flower 2021-04-07 22:11:51,651 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.48.37:51026
INFO flower 2021-04-07 22:11:51,674 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.8.46:38392
INFO flower 2021-04-07 22:11:51,691 | server_ssp.py:153 | server sends back ReadRes(clock=-1) to client ipv4:10.244.44.36:43300
INFO flower 2021-04-07 22:11:51,692 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.23.26:33276
INFO flower 2021-04-07 22:11:51,706 | server_ssp.py:134 | server starts round 0 for client ipv4:10.244.6.46:42728
INFO flower 2021-04-07 22:11:51,727 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.55.26:56060
INFO flower 2021-04-07 22:11:51,740 | server_ssp.py:147 | server receives ReadIns from client ipv4:10.244.7.44:52364
