INFO flower 2021-04-05 02:52:19,285 | app.py:86 | Flower server running (insecure, 25 rounds)
INFO flower 2021-04-05 02:52:32,573 | server_ssp.py:86 | initial weights (loss/accuracy): 907.8599038124084, 0.004830917874396135
INFO flower 2021-04-05 02:52:33,244 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.38.14:41766
INFO flower 2021-04-05 02:52:33,244 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.38.14:41766
INFO flower 2021-04-05 02:52:33,264 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.33.11:38562
INFO flower 2021-04-05 02:52:33,264 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.33.11:38562
INFO flower 2021-04-05 02:52:33,293 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.5.22:43344
INFO flower 2021-04-05 02:52:33,294 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.5.22:43344
INFO flower 2021-04-05 02:52:33,294 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.53.14:48858
INFO flower 2021-04-05 02:52:33,301 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.53.14:48858
INFO flower 2021-04-05 02:52:33,377 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.2.20:52660
INFO flower 2021-04-05 02:52:33,377 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.2.20:52660
INFO flower 2021-04-05 02:52:33,394 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.48.14:59256
INFO flower 2021-04-05 02:52:33,395 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.48.14:59256
INFO flower 2021-04-05 02:52:33,408 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.4.23:48572
INFO flower 2021-04-05 02:52:33,408 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.4.23:48572
INFO flower 2021-04-05 02:52:33,446 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.8.24:43690
INFO flower 2021-04-05 02:52:33,446 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.8.24:43690
INFO flower 2021-04-05 02:52:33,454 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.44.14:38578
INFO flower 2021-04-05 02:52:33,455 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.44.14:38578
INFO flower 2021-04-05 02:52:33,472 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.23.11:60234
INFO flower 2021-04-05 02:52:33,482 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.23.11:60234
INFO flower 2021-04-05 02:52:33,523 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.18.12:48062
INFO flower 2021-04-05 02:52:33,547 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.55.11:38138
INFO flower 2021-04-05 02:52:33,552 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.18.12:48062
INFO flower 2021-04-05 02:52:33,563 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.2.21:49994
INFO flower 2021-04-05 02:52:33,568 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.38.14:41766
INFO flower 2021-04-05 02:52:33,568 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.55.11:38138
INFO flower 2021-04-05 02:52:33,575 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.57.14:38546
INFO flower 2021-04-05 02:52:33,576 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.2.21:49994
INFO flower 2021-04-05 02:52:33,576 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.53.15:60558
INFO flower 2021-04-05 02:52:33,607 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.52.11:57650
INFO flower 2021-04-05 02:52:33,609 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.38.14:41766
INFO flower 2021-04-05 02:52:33,637 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.8.23:39378
INFO flower 2021-04-05 02:52:33,638 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.57.14:38546
INFO flower 2021-04-05 02:52:33,643 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.50.12:34202
INFO flower 2021-04-05 02:52:33,644 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.3.22:58074
INFO flower 2021-04-05 02:52:33,644 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.52.12:44330
INFO flower 2021-04-05 02:52:33,657 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.53.15:60558
INFO flower 2021-04-05 02:52:33,658 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.7.22:34926
INFO flower 2021-04-05 02:52:33,662 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.52.11:57650
INFO flower 2021-04-05 02:52:33,703 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.6.22:38296
INFO flower 2021-04-05 02:52:33,717 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.8.23:39378
INFO flower 2021-04-05 02:52:33,723 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.22.14:44424
INFO flower 2021-04-05 02:52:33,732 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.33.11:38562
INFO flower 2021-04-05 02:52:33,738 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.5.22:43344
INFO flower 2021-04-05 02:52:33,751 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.51.13:41196
INFO flower 2021-04-05 02:52:33,756 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.29.12:33626
INFO flower 2021-04-05 02:52:33,937 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.29.12:33626
INFO flower 2021-04-05 02:52:33,765 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.18.11:53490
INFO flower 2021-04-05 02:52:33,779 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.53.14:48858
INFO flower 2021-04-05 02:52:33,779 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.4.24:58296
INFO flower 2021-04-05 02:52:33,780 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.43.11:39074
INFO flower 2021-04-05 02:52:33,780 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.3.22:58074
INFO flower 2021-04-05 02:52:33,781 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.31.9:54156
INFO flower 2021-04-05 02:52:33,781 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.52.12:44330
INFO flower 2021-04-05 02:52:33,790 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.7.22:34926
INFO flower 2021-04-05 02:52:33,800 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.27.10:36738
INFO flower 2021-04-05 02:52:33,823 | server_ssp.py:117 | server starts round 0 for client ipv4:10.244.35.12:46580
INFO flower 2021-04-05 02:52:33,832 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.6.22:38296
INFO flower 2021-04-05 02:52:33,869 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.4.23:48572
INFO flower 2021-04-05 02:52:33,869 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.22.14:44424
INFO flower 2021-04-05 02:52:33,925 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.51.13:41196
INFO flower 2021-04-05 02:52:33,925 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.33.11:38562
INFO flower 2021-04-05 02:52:33,931 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.5.22:43344
INFO flower 2021-04-05 02:52:33,936 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.8.24:43690
INFO flower 2021-04-05 02:52:33,765 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.50.12:34202
INFO flower 2021-04-05 02:52:33,948 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.2.20:52660
INFO flower 2021-04-05 02:52:33,968 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.18.11:53490
INFO flower 2021-04-05 02:52:33,983 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.4.24:58296
INFO flower 2021-04-05 02:52:33,985 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.53.14:48858
INFO flower 2021-04-05 02:52:33,986 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.43.11:39074
INFO flower 2021-04-05 02:52:33,998 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.31.9:54156
INFO flower 2021-04-05 02:52:34,068 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.18.12:48062
INFO flower 2021-04-05 02:52:34,074 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.27.10:36738
INFO flower 2021-04-05 02:52:34,100 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.48.14:59256
INFO flower 2021-04-05 02:52:34,110 | server_ssp.py:120 | server send FitIns(clock=0) to client ipv4:10.244.35.12:46580
INFO flower 2021-04-05 02:52:34,123 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.23.11:60234
INFO flower 2021-04-05 02:52:34,247 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.2.21:49994
INFO flower 2021-04-05 02:52:34,313 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.52.11:57650
INFO flower 2021-04-05 02:52:34,323 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.4.23:48572
INFO flower 2021-04-05 02:52:34,329 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.44.14:38578
INFO flower 2021-04-05 02:52:34,333 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.57.14:38546
INFO flower 2021-04-05 02:52:34,354 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.8.24:43690
INFO flower 2021-04-05 02:52:34,391 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.2.20:52660
INFO flower 2021-04-05 02:52:34,447 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.55.11:38138
INFO flower 2021-04-05 02:52:34,501 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.3.22:58074
INFO flower 2021-04-05 02:52:34,514 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.7.22:34926
INFO flower 2021-04-05 02:52:34,580 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.53.15:60558
INFO flower 2021-04-05 02:52:34,594 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.18.12:48062
INFO flower 2021-04-05 02:52:34,650 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.48.14:59256
INFO flower 2021-04-05 02:52:34,691 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.52.11:57650
INFO flower 2021-04-05 02:52:34,698 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.2.21:49994
INFO flower 2021-04-05 02:52:34,731 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.23.11:60234
INFO flower 2021-04-05 02:52:34,755 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.44.14:38578
INFO flower 2021-04-05 02:52:34,766 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.8.23:39378
INFO flower 2021-04-05 02:52:34,783 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.57.14:38546
INFO flower 2021-04-05 02:52:34,822 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.22.14:44424
INFO flower 2021-04-05 02:52:34,859 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.50.12:34202
INFO flower 2021-04-05 02:52:34,882 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.3.22:58074
INFO flower 2021-04-05 02:52:34,888 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.55.11:38138
INFO flower 2021-04-05 02:52:34,899 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.7.22:34926
INFO flower 2021-04-05 02:52:34,918 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.4.24:58296
INFO flower 2021-04-05 02:52:34,962 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.53.15:60558
INFO flower 2021-04-05 02:52:35,126 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.50.12:34202
INFO flower 2021-04-05 02:52:35,128 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.8.23:39378
INFO flower 2021-04-05 02:52:35,130 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.22.14:44424
INFO flower 2021-04-05 02:52:35,146 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.29.12:33626
INFO flower 2021-04-05 02:52:35,210 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.35.12:46580
INFO flower 2021-04-05 02:52:35,254 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.4.24:58296
INFO flower 2021-04-05 02:52:35,333 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.51.13:41196
INFO flower 2021-04-05 02:52:35,350 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.18.11:53490
INFO flower 2021-04-05 02:52:35,391 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.35.12:46580
INFO flower 2021-04-05 02:52:35,392 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.29.12:33626
INFO flower 2021-04-05 02:52:35,442 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.51.13:41196
INFO flower 2021-04-05 02:52:35,447 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.18.11:53490
INFO flower 2021-04-05 02:52:35,566 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.31.9:54156
INFO flower 2021-04-05 02:52:35,583 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.52.12:44330
INFO flower 2021-04-05 02:52:35,592 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.31.9:54156
INFO flower 2021-04-05 02:52:35,605 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.52.12:44330
INFO flower 2021-04-05 02:52:35,628 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.6.22:38296
INFO flower 2021-04-05 02:52:35,668 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.6.22:38296
INFO flower 2021-04-05 02:52:36,266 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.43.11:39074
INFO flower 2021-04-05 02:52:36,279 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.43.11:39074
INFO flower 2021-04-05 02:52:36,384 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.27.10:36738
INFO flower 2021-04-05 02:52:36,396 | server_ssp.py:136 | server sends back ReadRes(clock=-1) to client ipv4:10.244.27.10:36738
INFO flower 2021-04-05 02:52:52,880 | server_ssp.py:141 | server receives FitRes(clock=0) from client ipv4:10.244.38.14:41766
WARNING flower 2021-04-05 02:52:52,907 | server_ssp.py:152 | 4 parameter layers very similar in total 7
INFO flower 2021-04-05 02:52:52,908 | server_ssp.py:117 | server starts round 1 for client ipv4:10.244.38.14:41766
INFO flower 2021-04-05 02:52:52,908 | server_ssp.py:120 | server send FitIns(clock=1) to client ipv4:10.244.38.14:41766
INFO flower 2021-04-05 02:52:53,047 | server_ssp.py:130 | server receives ReadIns from client ipv4:10.244.38.14:41766
INFO flower 2021-04-05 02:52:53,048 | server_ssp.py:208 | WAIT in get_fresh_weights: global_clock=-1, min_clock=0
INFO flower 2021-04-05 02:52:54,299 | server_ssp.py:141 | server receives FitRes(clock=0) from client ipv4:10.244.5.22:43344
WARNING flower 2021-04-05 02:52:54,323 | server_ssp.py:152 | 3 parameter layers very similar in total 7
INFO flower 2021-04-05 02:52:54,323 | server_ssp.py:117 | server starts round 1 for client ipv4:10.244.5.22:43344
INFO flower 2021-04-05 02:52:54,323 | server_ssp.py:120 | server send FitIns(clock=1) to client ipv4:10.244.5.22:43344
